Time (s),V_MR
0.0,2.3115001344
5e-10,2.1865001472000003
1e-09,2.1240001536
1.5000000000000002e-09,2.0615001600000005
2e-09,1.9365001728000002
2.5e-09,1.8740001792000003
3.0000000000000004e-09,1.8115001856000001
3.5000000000000003e-09,1.6865001984
4e-09,1.5615002112000003
4.500000000000001e-09,1.4990002176000004
5e-09,1.3740002304
5.5000000000000004e-09,1.3115002368000002
6.000000000000001e-09,1.1865002496000003
6.5e-09,1.1865002496000003
7.000000000000001e-09,0.9990002688000001
7.500000000000001e-09,0.9365002752000002
8e-09,0.8740002816000003
8.5e-09,0.8115002880000004
9.000000000000001e-09,0.8115002880000004
9.5e-09,0.6865003008000001
1e-08,0.6240003072000002
1.0500000000000001e-08,0.6240003072000002
1.1000000000000001e-08,0.4365003264
1.15e-08,0.3740003328000001
1.2000000000000002e-08,0.3115003392000002
1.2500000000000001e-08,0.24900034560000028
1.3e-08,0.3115003392000002
1.35e-08,0.18650035200000037
1.4000000000000001e-08,0.18650035200000037
1.45e-08,0.24900034560000028
1.5000000000000002e-08,0.18650035200000037
1.55e-08,0.12400035840000045
1.6e-08,-0.0009996287999998188
1.6500000000000002e-08,-0.0009996287999998188
1.7e-08,-0.0009996287999998188
1.75e-08,-0.0009996287999998188
1.8000000000000002e-08,-0.0009996287999998188
1.85e-08,-0.0009996287999998188
1.9e-08,0.061500364800000096
1.9500000000000003e-08,0.061500364800000096
2e-08,-0.0009996287999998188
2.05e-08,-0.06349962239999973
2.1000000000000003e-08,-0.0009996287999998188
2.15e-08,0.061500364800000096
2.2000000000000002e-08,-0.0009996287999998188
2.2500000000000003e-08,0.061500364800000096
2.3e-08,0.12400035840000045
2.3500000000000002e-08,0.18650035200000037
2.4000000000000003e-08,0.12400035840000045
2.45e-08,0.18650035200000037
2.5000000000000002e-08,0.3115003392000002
2.55e-08,0.3115003392000002
2.6e-08,0.3115003392000002
2.6500000000000002e-08,0.4365003264
2.7e-08,0.4365003264
2.75e-08,0.4990003200000004
2.8000000000000003e-08,0.4990003200000004
2.85e-08,0.5615003136000003
2.9e-08,0.6240003072000002
2.9500000000000003e-08,0.6865003008000001
3.0000000000000004e-08,0.8115002880000004
3.05e-08,0.9365002752000002
3.1e-08,1.0615002624
3.1500000000000004e-08,1.0615002624
3.2e-08,1.0615002624
3.25e-08,1.124000256
3.3000000000000004e-08,1.1865002496000003
3.35e-08,1.3115002368000002
3.4e-08,1.436500224
3.4500000000000005e-08,1.5615002112000003
3.5e-08,1.6865001984
