VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,18.009464,1.13099047,20.36853215380808,33.80482,0.5476782,18.51464,0.66,0.016,0.3,0.022
18.5,18.509018,1.16178531,21.503505214925582,34.72574,0.5630539,19.55519,0.69,0.016,0.34,0.02
19.0,19.008461,1.1926567,22.6705683683387,35.68353,0.5781451,20.62974,0.73,0.016,0.36,0.022
19.5,19.506328,1.22247439,23.84598642293992,36.60367,0.5931039,21.71384,0.73,0.016,0.41,0.025
20.0,20.004829,1.25475433,25.10114580865957,37.56762,0.6087976,22.87001,0.77,0.017,0.45,0.025
20.5,20.50587,1.28938017,26.439862146597903,38.55414,0.6244659,24.08247,0.75,0.019,0.48,0.022
21.0,21.006152,1.32458518,27.824437628027358,39.54716,0.6407975,25.34161,0.77,0.017,0.45,0.027
21.5,21.507306,1.35914362,29.23151773328772,40.53927,0.6567262,26.62045,0.78,0.019,0.45,0.023
22.0,22.006793,1.39358955,30.668436753813147,41.53318,0.6726806,27.9385,0.77,0.017,0.42,0.022
22.5,22.506956,1.426545,32.107185547019995,42.48949,0.6886231,29.26014,0.8,0.017,0.44,0.02
23.0,23.005788,1.45940297,33.574715334390355,43.44633,0.7041761,30.60114,0.77,0.017,0.45,0.023
23.5,23.505704,1.49322394,35.099279939353764,44.44028,0.7202321,32.00819,0.75,0.019,0.42,0.023
24.0,24.006097,1.52562245,36.62424052007765,45.42913,0.7359154,33.42626,0.75,0.022,0.44,0.025
24.5,24.504541,1.55901463,38.202937920434834,46.38925,0.7515238,34.86293,0.75,0.017,0.42,0.028
25.0,25.004892,1.59127531,39.78966726881652,47.34729,0.7671304,36.33021,0.77,0.02,0.42,0.025
25.5,25.504658,1.62338897,41.403980480822256,48.308,0.7827265,37.81186,0.75,0.02,0.42,0.025
26.0,26.004192,1.65526578,43.043849154149754,49.26223,0.7980994,39.31507,0.8,0.019,0.39,0.025
26.5,26.50262,1.68825049,44.7430612012838,50.25364,0.8140996,40.90485,0.81,0.025,0.41,0.027
27.0,27.0016,1.72042013,46.454096182208,51.20901,0.8296224,42.48966,0.83,0.02,0.45,0.025
27.5,27.499812,1.75255259,48.19486674511308,52.17043,0.8453171,44.0876,0.86,0.019,0.45,0.03
28.0,27.997384,1.78254077,49.90647843334568,53.05527,0.8604746,45.65582,0.89,0.02,0.47,0.027
