DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
0.3,24.988418,1.67977047,41.97480664841646,48.05577,0.7773386,37.35809,58.0,58.0,58.0,58.0,13400000.0,120.0,106.0,41.69
0.31,24.983589,1.68225813,42.028845711828566,48.05645,0.7790359,37.43424,57.0,57.0,57.0,57.0,13500000.0,122.0,108.0,41.87
0.32,24.97426,1.68576236,42.1006674768536,48.11089,0.7795741,37.50897,57.0,58.0,56.0,59.0,13500000.0,123.0,106.0,41.89
0.33,24.992045,1.69430052,42.3440348393634,48.26125,0.7820496,37.74591,56.0,59.0,56.0,58.0,13600000.0,122.0,108.0,42.05
0.34,24.986273,1.69708113,42.40373241732849,48.30621,0.7827803,37.81431,58.0,59.0,56.0,58.0,13500000.0,122.0,106.0,42.15
0.35000000000000003,24.984516,1.69958733,42.463366839782275,48.34018,0.7831049,37.85507,57.0,58.0,57.0,58.0,13500000.0,122.0,108.0,42.06
0.36000000000000004,24.979557,1.69750927,42.40302956799339,48.30237,0.7825066,37.79642,57.0,57.0,57.0,58.0,13600000.0,123.0,106.0,42.04
0.37000000000000005,24.975608,1.69313933,42.28718419546264,48.23127,0.7813626,37.68445,57.0,58.0,57.0,58.0,13500000.0,125.0,106.0,42.01
0.38000000000000006,24.97792,1.68989676,42.2101060795392,48.19757,0.7807164,37.63129,56.0,59.0,56.0,59.0,13700000.0,127.0,108.0,42.02
0.39000000000000007,24.985667,1.68855948,42.18978487697316,48.19744,0.780579,37.62144,56.0,57.0,56.0,57.0,13700000.0,125.0,106.0,42.02
0.4000000000000001,24.984558,1.68894523,42.19755005775834,48.19807,0.7809607,37.63997,56.0,57.0,56.0,57.0,13700000.0,123.0,106.0,41.8
