VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
18.0,18.003082,1.20091114,21.62010172813348,34.47959,0.558955,19.27768,41.0,41.0,41.0,41.0,13600000.0,89.0,78.0,31.06
18.5,18.494008,1.23660652,22.869810873732163,35.48305,0.5749972,20.42022,41.0,43.0,41.0,43.0,13600000.0,91.0,81.0,31.86
19.0,18.996405,1.27211867,24.16568146338135,36.49833,0.591152,21.57515,43.0,44.0,43.0,44.0,13600000.0,94.0,83.0,32.69
19.5,19.4981,1.30734263,25.490697334003,37.49058,0.6072662,22.76656,44.0,45.0,44.0,45.0,13600000.0,95.0,84.0,33.57
20.0,19.999727,1.34162007,26.83203513772089,38.44887,0.6233089,23.96477,45.0,46.0,44.0,47.0,13600000.0,98.0,86.0,34.37
20.5,20.501557,1.3762404,28.215071006302797,39.44156,0.6390355,25.20312,46.0,48.0,46.0,47.0,13600000.0,102.0,88.0,35.1
21.0,21.002847,1.41065018,29.627669901062458,40.39798,0.6549641,26.45906,47.0,48.0,47.0,48.0,13500000.0,103.0,92.0,35.88
21.5,21.503732,1.44602779,31.09499406071228,41.39199,0.6710792,27.77886,48.0,51.0,48.0,49.0,13500000.0,105.0,94.0,36.57
22.0,22.002648,1.48032388,32.57104525763424,42.34843,0.6870204,29.09618,49.0,51.0,49.0,51.0,13500000.0,108.0,95.0,37.34
22.5,22.501547,1.51446027,34.07769894503769,43.3047,0.7024242,30.4187,50.0,52.0,50.0,52.0,13600000.0,109.0,97.0,38.03
23.0,22.998239,1.54964046,35.63900166314994,44.29842,0.7182649,31.82067,52.0,53.0,52.0,52.0,13400000.0,111.0,98.0,38.9
23.5,23.49461,1.58451509,37.227564078664905,45.28992,0.7340541,33.24162,52.0,54.0,52.0,54.0,13600000.0,114.0,102.0,39.64
24.0,23.988024,1.61797418,38.81200346122032,46.24714,0.7492321,34.6439,54.0,55.0,54.0,55.0,13500000.0,117.0,103.0,40.43
24.5,24.479813,1.65156957,40.43011423009041,47.20538,0.7646444,36.0995,55.0,56.0,55.0,57.0,13600000.0,120.0,105.0,41.21
25.0,24.973586,1.68408909,42.05774372077674,48.12585,0.7798567,37.53578,55.0,59.0,55.0,59.0,13700000.0,123.0,106.0,41.93
25.5,25.463857,1.71766932,43.73848593776724,49.07823,0.7951836,39.03672,57.0,59.0,57.0,59.0,13600000.0,127.0,108.0,42.7
26.0,25.955951,1.75070594,45.441237594048935,50.0061,0.8108259,40.54726,58.0,61.0,58.0,61.0,13700000.0,130.0,111.0,43.38
26.5,26.444218,1.78587151,47.22597553042918,51.00098,0.8263715,42.15376,59.0,63.0,59.0,62.0,13500000.0,131.0,113.0,44.09
27.0,26.933895,1.81860392,48.982087027868396,51.92075,0.8418401,43.70575,60.0,63.0,59.0,63.0,13600000.0,134.0,113.0,44.94
27.5,27.417301,1.85021708,50.727958597701075,52.80964,0.8558661,45.19982,62.0,65.0,62.0,65.0,13600000.0,136.0,114.0,45.46
28.0,27.915599,1.88437597,52.60348394375603,53.76697,0.8713446,46.84748,63.0,66.0,63.0,66.0,13600000.0,139.0,119.0,46.17
