Time (s),V_MR
0.0,3.624
5e-10,3.4365000192
1e-09,3.4365000192
1.5000000000000002e-09,3.3740000256
2e-09,3.311500032
2.5e-09,3.2490000384
3.0000000000000004e-09,3.1240000512000003
3.5000000000000003e-09,2.999000064
4e-09,2.8740000768000002
4.500000000000001e-09,2.8115000832000003
5e-09,2.7490000896
5.5000000000000004e-09,2.686500096
6.000000000000001e-09,2.5615001088000002
6.5e-09,2.5615001088000002
7.000000000000001e-09,2.374000128
7.500000000000001e-09,2.2490001408
8e-09,2.1865001472000003
8.5e-09,1.9990001664000001
9.000000000000001e-09,1.9365001728000002
9.5e-09,1.8740001792000003
1e-08,1.8115001856000001
1.0500000000000001e-08,1.6865001984
1.1000000000000001e-08,1.5615002112000003
1.15e-08,1.5615002112000003
1.2000000000000002e-08,1.3740002304
1.2500000000000001e-08,1.2490002432000002
1.3e-08,1.2490002432000002
1.35e-08,1.1865002496000003
1.4000000000000001e-08,1.124000256
1.45e-08,0.9990002688000001
1.5000000000000002e-08,0.8740002816000003
1.55e-08,0.8115002880000004
1.6e-08,0.7490002944
1.6500000000000002e-08,0.6865003008000001
1.7e-08,0.6240003072000002
1.75e-08,0.5615003136000003
1.8000000000000002e-08,0.4990003200000004
1.85e-08,0.4365003264
1.9e-08,0.3115003392000002
1.9500000000000003e-08,0.24900034560000028
2e-08,0.24900034560000028
2.05e-08,0.24900034560000028
2.1000000000000003e-08,0.24900034560000028
2.15e-08,0.12400035840000045
2.2000000000000002e-08,0.061500364800000096
2.2500000000000003e-08,0.12400035840000045
2.3e-08,0.061500364800000096
2.3500000000000002e-08,-0.0009996287999998188
2.4000000000000003e-08,-0.0009996287999998188
2.45e-08,0.061500364800000096
2.5000000000000002e-08,-0.0009996287999998188
2.55e-08,-0.06349962239999973
2.6e-08,-0.12599961599999965
2.6500000000000002e-08,-0.12599961599999965
2.7e-08,-0.06349962239999973
2.75e-08,-0.0009996287999998188
2.8000000000000003e-08,-0.0009996287999998188
2.85e-08,-0.0009996287999998188
2.9e-08,0.061500364800000096
2.9500000000000003e-08,-0.0009996287999998188
3.0000000000000004e-08,0.061500364800000096
3.05e-08,0.12400035840000045
3.1e-08,0.061500364800000096
3.1500000000000004e-08,0.061500364800000096
3.2e-08,0.18650035200000037
3.25e-08,0.24900034560000028
3.3000000000000004e-08,0.24900034560000028
3.35e-08,0.3115003392000002
3.4e-08,0.3115003392000002
3.4500000000000005e-08,0.3740003328000001
3.5e-08,0.4365003264
3.55e-08,0.4990003200000004
3.6000000000000005e-08,0.6240003072000002
3.65e-08,0.5615003136000003
3.7e-08,0.6865003008000001
3.7500000000000005e-08,0.8115002880000004
3.8e-08,0.9990002688000001
3.85e-08,0.9990002688000001
3.9000000000000005e-08,0.9990002688000001
3.95e-08,1.0615002624
4e-08,1.1865002496000003
4.0500000000000005e-08,1.2490002432000002
4.1e-08,1.3740002304
4.15e-08,1.4990002176000004
4.2000000000000006e-08,1.6240002048000002
4.2500000000000003e-08,1.6240002048000002
4.3e-08,1.7490001920000002
4.3500000000000006e-08,1.7490001920000002
4.4000000000000004e-08,1.9365001728000002
4.45e-08,2.0615001600000005
4.5000000000000006e-08,2.1240001536
4.5500000000000004e-08,2.1865001472000003
4.6e-08,2.2490001408
4.6500000000000006e-08,2.374000128
4.7000000000000004e-08,2.4365001216
4.75e-08,2.5615001088000002
4.8000000000000006e-08,2.686500096
4.8500000000000004e-08,2.7490000896
4.9e-08,2.7490000896
4.95e-08,2.8115000832000003
5.0000000000000004e-08,2.9365000704
5.05e-08,3.1865000448000003
5.1e-08,3.1865000448000003
5.1500000000000005e-08,3.2490000384
5.2e-08,3.311500032
5.25e-08,3.2490000384
5.3000000000000005e-08,3.3740000256
5.35e-08,3.4990000128000003
5.4e-08,3.6864999936
5.4500000000000005e-08,3.7489999872
5.5e-08,3.6864999936
5.55e-08,3.6864999936
5.6000000000000005e-08,3.8114999808000003
5.65e-08,3.936499968
5.7e-08,3.9989999616
5.7500000000000005e-08,3.936499968
5.8e-08,3.9989999616
5.85e-08,4.0614999552
5.9000000000000006e-08,4.1239999488
5.9500000000000003e-08,4.1864999424
6.000000000000001e-08,4.1864999424
6.05e-08,3.9989999616
6.1e-08,4.1239999488
6.15e-08,4.248999936000001
6.2e-08,4.3739999232
6.250000000000001e-08,4.3739999232
6.300000000000001e-08,4.248999936000001
6.35e-08,4.248999936000001
6.4e-08,4.248999936000001
6.45e-08,4.3114999296
6.5e-08,4.3114999296
6.55e-08,4.3114999296
6.600000000000001e-08,4.248999936000001
6.65e-08,4.1864999424
6.7e-08,4.1239999488
6.75e-08,4.1864999424
6.8e-08,4.1864999424
6.85e-08,4.0614999552
6.900000000000001e-08,4.0614999552
6.950000000000001e-08,3.936499968
7e-08,3.936499968
7.05e-08,3.8739999744
7.1e-08,3.8739999744
7.15e-08,3.8114999808000003
7.200000000000001e-08,3.7489999872
7.250000000000001e-08,3.624
7.3e-08,3.624
7.35e-08,3.624
7.4e-08,3.4990000128000003
7.45e-08,3.4365000192
7.500000000000001e-08,3.311500032
7.550000000000001e-08,3.2490000384
7.6e-08,3.1865000448000003
7.65e-08,3.0615000576
7.7e-08,2.999000064
7.75e-08,2.8740000768000002
7.800000000000001e-08,2.8115000832000003
7.850000000000001e-08,2.8115000832000003
7.9e-08,2.6240001024
7.95e-08,2.5615001088000002
8e-08,2.4990001152000003
8.05e-08,2.3115001344
8.100000000000001e-08,2.2490001408
8.150000000000001e-08,2.2490001408
8.2e-08,2.1240001536
8.25e-08,2.0615001600000005
8.3e-08,1.9365001728000002
8.35e-08,1.7490001920000002
8.400000000000001e-08,1.6865001984
8.450000000000001e-08,1.6240002048000002
8.500000000000001e-08,1.5615002112000003
8.55e-08,1.5615002112000003
8.6e-08,1.3740002304
8.65e-08,1.3115002368000002
8.700000000000001e-08,1.1865002496000003
8.750000000000001e-08,1.1865002496000003
8.800000000000001e-08,1.0615002624
8.85e-08,0.9990002688000001
8.9e-08,0.8740002816000003
8.95e-08,0.8115002880000004
9.000000000000001e-08,0.7490002944
9.050000000000001e-08,0.6865003008000001
9.100000000000001e-08,0.6240003072000002
9.15e-08,0.6240003072000002
9.2e-08,0.5615003136000003
9.25e-08,0.5615003136000003
9.300000000000001e-08,0.3740003328000001
9.350000000000001e-08,0.4365003264
9.400000000000001e-08,0.3740003328000001
9.45e-08,0.3740003328000001
9.5e-08,0.24900034560000028
9.55e-08,0.24900034560000028
9.600000000000001e-08,0.24900034560000028
9.650000000000001e-08,0.18650035200000037
9.700000000000001e-08,0.12400035840000045
9.75e-08,0.12400035840000045
9.8e-08,0.12400035840000045
9.85e-08,0.18650035200000037
9.9e-08,0.12400035840000045
9.950000000000001e-08,0.061500364800000096
1.0000000000000001e-07,-0.0009996287999998188
1.005e-07,-0.0009996287999998188
1.01e-07,0.061500364800000096
1.015e-07,0.061500364800000096
1.02e-07,0.12400035840000045
1.0250000000000001e-07,0.18650035200000037
1.0300000000000001e-07,0.18650035200000037
1.0350000000000001e-07,0.18650035200000037
1.04e-07,0.24900034560000028
1.045e-07,0.24900034560000028
1.05e-07,0.18650035200000037
1.0550000000000001e-07,0.18650035200000037
1.0600000000000001e-07,0.18650035200000037
1.0650000000000001e-07,0.24900034560000028
1.07e-07,0.3115003392000002
1.075e-07,0.4365003264
1.08e-07,0.4990003200000004
1.0850000000000001e-07,0.5615003136000003
