VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_IN_PP,I_IN_PP,V_OUT_PP,I_OUT_PP
18.0,17.986329,1.20327156,21.64243815450324,34.72645,0.5628626,19.54735,0.42,0.03,9.9e+37,0.02
18.5,18.48316,1.23628522,22.8504575268952,35.68388,0.5788135,20.65089,0.41,0.03,0.31,0.02
19.0,18.982039,1.27139163,24.133605504933573,36.70572,0.5945477,21.81119,0.42,0.028,0.31,0.019
19.5,19.479181,1.30461034,25.41274094733154,37.6729,0.6106565,23.01045,0.44,0.03,0.33,0.017
20.0,19.974629,1.33759127,26.717889371888834,38.63667,0.626065,24.18254,0.41,0.031,0.33,0.02
20.5,20.468502,1.37029672,28.047921153913443,39.58336,0.6418884,25.40046,0.47,0.033,0.34,0.02
21.0,20.963917,1.40464375,29.446834989568746,40.57188,0.657249,26.66676,0.45,0.034,0.34,0.025
21.5,21.456188,1.43795244,30.852977887698724,41.5331,0.6727252,27.94586,0.5,0.039,0.34,0.025
22.0,21.955396,1.47117343,32.30019524032828,42.49059,0.6885037,29.25162,0.55,0.038,0.38,0.022
22.5,22.448156,1.50446929,33.772561319129245,43.44622,0.7038881,30.58114,0.58,0.039,0.42,0.022
23.0,22.944161,1.5378726,35.2851965318886,44.40755,0.7196397,31.94465,0.59,0.034,0.45,0.025
23.5,23.435311,1.57196073,36.83938858733703,45.39673,0.7350727,33.37258,0.58,0.038,0.45,0.023
24.0,23.925621,1.60525917,38.40682250819457,46.3509,0.7509603,34.8007,0.56,0.041,0.47,0.023
24.5,24.414701,1.63968638,40.03245270147239,47.30994,0.7664996,36.26292,0.56,0.041,0.45,0.023
25.0,24.902297,1.67367604,41.67837782986388,48.26646,0.7819276,37.74568,0.59,0.041,0.47,0.02
25.5,25.387155,1.70743932,43.3470266699346,49.22453,0.7976097,39.26549,0.59,0.041,0.45,0.023
26.0,25.871649,1.7412423,45.0488096095527,50.18132,0.8133892,40.82291,0.63,0.042,0.47,0.023
26.5,26.352513,1.77464172,46.76626899664236,51.14083,0.8286839,42.37991,0.61,0.052,0.5,0.025
27.0,26.828456,1.80702012,48.47955978053472,52.06241,0.8438951,43.93493,0.59,0.081,0.52,0.025
27.5,27.307675,1.83944533,50.23097525190775,53.00309,0.8587891,45.51501,0.61,0.044,0.52,0.027
28.0,27.780591,1.87161132,51.99446859189012,53.90719,0.8736609,47.09278,0.63,0.05,0.53,0.023
