CONFIG,P_IN_SET,V_IN_PP,V_IN_AVG,V_IN_RMS,I_IN_PP,I_IN_AVG,I_IN_RMS,PIN_AVG,V_OUT_DC,I_OUT_DC,P_OUT_DC,V_OUT_PP,V_OUT_AVG,V_OUT_RMS,I_OUT_PP,I_OUT_AVG,I_OUT_RMS,POUT_AVG
STPS360AF,2.0,9.4,-0.46,3.527,0.244,0.0026,0.0761,0.2684047,3.473978,0.05549848,0.1894147,0.163,3.4505,3.45,0.022,0.05729,0.05745,0.1982025
RB058LAM100TF,2.0,10.0,-0.44,3.691,0.244,0.0015,0.072,0.265752,3.414912,0.05289675,0.1754594,0.169,3.3542,3.35,0.024,0.05532,0.05554,0.186059
