Name,VDS_A,,,Name,VDS_B,,,Name,V_MR,,,Name,VOUT_RF,,,
101522.842639594,-68.2980041503906,-80.3460845947266,,101522.842639594,-67.8841247558594,-79.9061279296875,,101522.842639594,9.8131901160422E-05,1.79304480648806E-05,,101522.842639594,40.4769131781258,28.8257748724618,,
152284.263959391,-70.5133285522461,-84.5836486816406,,152284.263959391,-69.9960021972656,-83.3751525878906,,152284.263959391,5.51619608584004E-05,1.33739470476333E-05,,152284.263959391,37.1447903753914,23.5286404730477,,
203045.685279188,-73.4014663696289,-82.21630859375,,203045.685279188,-73.657470703125,-86.0665664672852,,203045.685279188,4.94227592553682E-05,1.14450821241611E-05,,203045.685279188,35.9248349310555,21.7177197577157,,
253807.106598985,-75.6848526000977,-86.014533996582,,253807.106598985,-76.7779998779297,-88.1060409545898,,253807.106598985,3.94772280742964E-05,9.92828472318924E-06,,253807.106598985,31.5277936102547,20.7456357123055,,
304568.527918782,-76.1744537353516,-88.3386154174805,,304568.527918782,-76.4336547851563,-88.7709808349609,,304568.527918782,3.41869821413365E-05,9.00241523571588E-06,,304568.527918782,29.1040036322274,19.4117123724618,,
355329.949238579,-77.8427886962891,-89.1545944213867,,355329.949238579,-75.3827209472656,-89.565803527832,,355329.949238579,2.50859442049846E-05,6.86386635241305E-06,,355329.949238579,30.2099682928719,15.6626736761727,,
406091.370558376,-80.5520172119141,-92.226448059082,,406091.370558376,-79.8459091186523,-88.7152328491211,,406091.370558376,2.35979379869959E-05,5.68990736190137E-06,,406091.370558376,28.2184598089852,16.1234585882821,,
456852.791878173,-80.5125961303711,-90.6401138305664,,456852.791878173,-81.2068405151367,-89.8973007202148,,456852.791878173,2.24766050526431E-05,6.96524974182065E-06,,456852.791878173,26.3961331488289,15.8077542425789,,
507614.213197969,-81.5479125976563,-93.6619186401367,,507614.213197969,-80.4623107910156,-93.3556137084961,,507614.213197969,1.8179907161655E-05,5.04732069168421E-06,,507614.213197969,26.75589724795,14.5001675726571,,
558375.634517766,-81.846061706543,-94.4397430419922,,558375.634517766,-82.7808532714844,-93.1716461181641,,558375.634517766,1.86668418530819E-05,4.75987036468215E-06,,558375.634517766,25.33695193545,9.91839572207113,,
609137.055837563,-82.4603958129883,-93.4763336181641,,609137.055837563,-82.2445297241211,-94.3084411621094,,609137.055837563,1.70040014668622E-05,4.70413738933173E-06,,609137.055837563,26.0897061468758,8.84410830752034,,
