DUTY,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
0.3,25.153619,1.69101489,42.53514426638691,48.979,0.7938905,38.87937,7.38,4.94,5.56,4.94,-1.88,-0.06,8.38,4.94,5.75,4.81,-2.69,-0.13,58.8,56.9,55.0,55.0,-4.4,-1.9,56.3
0.31,25.136458,1.6949206,42.6043004752348,49.04971,0.7947297,38.99075,7.38,4.94,5.44,4.88,-1.94,-0.06,8.44,5.0,5.69,4.88,-2.69,-0.13,57.5,55.6,53.8,53.8,-3.1,-1.9,55.6
0.32,25.128554,1.69388928,42.56498824250112,49.04312,0.7945211,38.94191,7.44,4.94,5.44,4.88,-1.94,-0.13,8.38,5.0,5.63,4.88,-2.75,-0.13,56.3,55.0,53.1,53.1,-3.1,-1.9,55.0
0.33,25.140368,1.70067578,42.75561495788704,49.15504,0.7967402,39.15955,7.44,4.94,5.44,4.94,-1.94,-0.06,8.44,5.0,5.75,4.88,-2.69,-0.13,56.3,55.0,53.8,53.8,-3.8,-1.9,55.0
0.34,25.140071,1.70370936,42.83137427376456,49.21793,0.7973781,39.23713,7.44,4.94,5.44,4.94,-2.0,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,56.9,55.0,53.8,53.8,-3.8,-1.9,55.0
0.35000000000000003,25.136137,1.70445228,42.84334602004236,49.22485,0.7974989,39.26095,7.44,4.94,5.44,4.88,-2.0,-0.06,8.38,5.0,5.81,4.88,-2.75,-0.13,56.3,55.0,53.1,53.1,-3.1,-1.9,55.0
0.36000000000000004,25.135845,1.70273432,42.7996659437004,49.19492,0.7971842,39.21816,7.38,5.06,5.44,4.94,-1.94,-0.13,8.38,5.0,5.69,4.88,-2.75,-0.13,56.9,55.0,53.1,53.1,-3.1,-1.9,55.0
0.37000000000000005,25.116823,1.70041145,42.70893341682335,49.15418,0.7961877,39.13857,7.5,5.06,5.5,4.94,-2.0,-0.13,8.44,5.0,5.63,4.88,-2.81,-0.13,57.5,55.6,53.8,53.1,-3.1,-1.9,55.0
0.38000000000000006,25.113382,1.69855571,42.65647839351122,49.11274,0.7957206,39.08467,7.5,4.94,5.5,4.88,-2.0,-0.13,8.44,5.0,5.69,4.88,-2.75,-0.13,56.9,55.6,53.8,53.8,-3.8,-1.9,55.0
0.39000000000000007,25.117501,1.6989753,42.674013796725305,49.12699,0.7960111,39.10197,7.44,5.0,5.56,4.88,-1.94,-0.06,8.5,5.0,5.69,4.88,-2.69,-0.13,56.3,55.6,53.8,53.1,-3.1,-1.9,55.0
0.4000000000000001,25.116878,1.70197854,42.74838734779812,49.15477,0.7966135,39.16703,7.44,5.0,5.44,4.94,-2.0,-0.06,8.5,5.0,5.75,4.88,-2.75,-0.13,56.9,55.0,53.1,53.1,-3.8,-1.9,55.6
