VIN,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
18.0,18.045002,1.19440384,21.553019681607683,34.83255,0.564481,19.66249,7.25,5.0,5.31,4.94,-1.88,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,41.3,40.6,38.8,38.8,-3.1,-1.9,39.4
18.5,18.544151,1.22550891,22.72602227888541,35.78612,0.5796509,20.73994,7.25,5.0,5.38,4.94,-1.88,-0.06,8.44,5.0,5.75,4.88,-2.69,-0.13,42.5,41.3,38.8,39.4,-3.1,-1.9,40.6
19.0,19.047064,1.25593307,23.921837564006477,36.70974,0.5948921,21.83762,7.25,5.0,5.44,4.94,-1.81,-0.06,8.38,5.0,5.75,4.88,-2.75,-0.13,43.1,41.9,40.0,40.0,-3.1,-1.9,41.3
19.5,19.55395,1.2915465,25.254835683674997,37.73819,0.6112955,23.07083,7.25,5.0,5.44,4.94,-1.81,-0.06,8.5,5.0,5.75,4.88,-2.69,-0.13,43.8,42.5,41.3,36.3,-3.1,-1.9,42.5
20.0,20.06489,1.32927222,26.671700874355796,38.76958,0.6283889,24.36713,7.19,5.0,5.38,4.94,-1.81,-0.06,8.44,5.0,5.75,4.88,-2.75,-0.13,45.6,44.4,42.5,42.5,-3.1,-1.9,43.1
20.5,20.579676,1.369495,28.183763383619997,39.86555,0.6459609,25.75531,7.19,5.06,5.38,4.94,-1.75,-0.06,8.44,5.0,5.69,4.94,-2.75,-0.13,46.9,45.6,43.1,43.8,-3.1,-1.9,44.4
21.0,21.095301,1.40968963,29.73782706142863,40.96537,0.6636197,27.18984,7.19,5.0,5.38,4.94,-1.75,-0.06,8.44,5.0,5.75,4.88,-2.69,-0.13,47.5,46.3,44.4,44.4,-3.1,-1.9,45.6
21.5,21.604187,1.4486442,31.2967801932654,42.03395,0.6812549,28.62921,7.19,5.0,5.38,4.94,-1.81,-0.06,8.38,5.0,5.69,4.88,-2.69,-0.13,49.4,48.1,46.3,46.3,-3.1,-1.9,47.5
22.0,22.109621,1.48622771,32.859931387797914,43.05717,0.697946,30.05102,7.19,5.06,5.38,4.94,-1.81,-0.13,8.44,5.06,5.75,4.88,-2.69,-0.13,50.6,49.4,47.5,47.5,-3.1,-1.9,48.1
22.5,22.617204,1.52446237,34.47907641261348,44.11758,0.7147909,31.53852,7.25,5.0,5.38,4.94,-1.88,-0.06,8.44,5.0,5.69,4.88,-2.69,-0.13,51.3,50.6,48.1,48.1,-3.1,-1.9,49.4
23.0,23.124478,1.55924296,36.05667952517488,45.11344,0.7315837,33.01087,7.19,5.0,5.38,4.94,-1.81,-0.06,8.44,5.0,5.69,4.88,-2.69,-0.13,52.5,51.3,49.4,50.0,-3.1,-1.9,50.6
23.5,23.626656,1.5952166,37.6896338536896,46.17595,0.7480741,34.54724,7.19,5.0,5.44,4.94,-1.88,-0.06,8.38,5.0,5.69,4.88,-2.69,-0.13,53.8,52.5,50.6,50.6,-3.8,-1.9,51.3
24.0,24.134911,1.62870314,39.30860532932054,47.14061,0.7639456,36.01981,7.31,5.0,5.38,4.94,-1.94,-0.06,8.31,5.0,5.69,4.88,-2.69,-0.13,54.4,53.1,51.3,51.3,-3.1,-1.9,52.5
24.5,24.637963,1.66219661,40.95313857590543,48.1248,0.7797488,37.52001,7.38,5.0,5.44,4.94,-1.88,-0.06,8.31,5.0,5.63,4.88,-2.69,-0.13,56.3,54.4,52.5,53.1,-3.1,-1.9,53.8
25.0,25.143791,1.69471257,42.61149866515287,49.08915,0.7954313,39.03815,7.31,4.94,5.5,4.88,-2.0,-0.06,8.38,5.0,5.63,4.88,-2.69,-0.13,56.3,55.0,53.1,53.8,-3.1,-1.9,54.4
25.5,25.644103,1.72810596,44.31572723315388,50.07721,0.8113999,40.63897,7.38,5.0,5.44,4.94,-2.0,-0.06,8.44,5.0,5.63,4.88,-2.75,-0.13,57.5,56.3,54.4,54.4,-3.1,-1.9,56.3
26.0,26.146001,1.76276772,46.08932656988772,51.10013,0.8278118,42.27094,7.44,5.0,5.44,4.88,-1.94,-0.13,8.38,5.0,5.63,4.88,-2.75,-0.13,58.1,56.9,55.0,55.0,-3.8,-1.9,56.9
26.5,26.645257,1.79609553,47.85742699340121,52.06267,0.8432427,43.90659,7.44,5.0,5.44,4.88,-2.0,-0.13,8.44,5.0,5.69,4.88,-2.75,-0.13,58.8,51.9,56.3,56.3,-3.1,-1.9,58.1
27.0,27.131419,1.82774374,49.58928123456706,52.98088,0.8583832,45.4758,7.44,5.0,5.5,4.88,-1.94,-0.06,8.44,5.0,5.69,4.88,-2.75,-0.13,61.3,59.4,57.5,58.1,-3.1,-1.9,59.4
27.5,27.611435,1.86117617,51.38974484150395,53.94711,0.8742213,47.18631,7.44,5.06,5.5,4.94,-1.94,-0.06,8.5,5.0,5.69,4.88,-2.75,-0.13,61.9,53.8,58.1,58.8,-3.1,-1.9,60.0
28.0,28.142922,1.89758551,53.40360099626022,55.00506,0.8916836,49.0383,7.44,4.94,5.5,4.94,-1.94,-0.06,8.5,5.0,5.63,4.88,-2.81,-0.13,62.5,61.9,59.4,53.1,-3.8,-1.9,61.3
