ro	eff	iin	iout	mrfreq	pinavg	poutavg	vds1max	vds2max	vin	vmrpp	vout	vsecpp
5.000000000000000e+01	9.761434e-01	1.293409e+00	7.945283e-01	1.355478e+07	-3.233523e+01	3.156382e+01	5.652215e+01	5.654771e+01	2.500000e+01	1.106288e+02	3.972641e+01	8.118454e+01
5.050000000000000e+01	9.764774e-01	1.306531e+00	7.947212e-01	1.355090e+07	-3.266327e+01	3.189494e+01	5.657626e+01	5.652956e+01	2.500000e+01	1.107997e+02	4.013342e+01	8.199654e+01
5.100000000000000e+01	9.763666e-01	1.320241e+00	7.949094e-01	1.355121e+07	-3.300603e+01	3.222599e+01	5.661857e+01	5.658989e+01	2.500000e+01	1.110330e+02	4.054038e+01	8.281083e+01
5.150000000000000e+01	9.767175e-01	1.333323e+00	7.950933e-01	1.356306e+07	-3.333307e+01	3.255699e+01	5.661827e+01	5.653488e+01	2.500000e+01	1.109773e+02	4.094730e+01	8.362489e+01
5.200000000000000e+01	9.770852e-01	1.346375e+00	7.952745e-01	1.356517e+07	-3.365936e+01	3.288807e+01	5.654449e+01	5.663561e+01	2.500000e+01	1.112137e+02	4.135427e+01	8.443884e+01
5.250000000000000e+01	9.771486e-01	1.359839e+00	7.954520e-01	1.355039e+07	-3.399598e+01	3.321912e+01	5.644432e+01	5.642055e+01	2.500000e+01	1.111487e+02	4.176123e+01	8.525359e+01
5.300000000000000e+01	9.772952e-01	1.373179e+00	7.956243e-01	1.355217e+07	-3.432946e+01	3.355002e+01	5.668905e+01	5.640897e+01	2.500000e+01	1.114637e+02	4.216809e+01	8.606705e+01
5.350000000000000e+01	9.776688e-01	1.386192e+00	7.957934e-01	1.356642e+07	-3.465481e+01	3.388092e+01	5.650145e+01	5.655597e+01	2.500000e+01	1.115403e+02	4.257495e+01	8.688181e+01
5.400000000000000e+01	9.777213e-01	1.399643e+00	7.959557e-01	1.356315e+07	-3.499107e+01	3.421151e+01	5.653745e+01	5.669930e+01	2.500000e+01	1.118142e+02	4.298161e+01	8.769383e+01
5.450000000000000e+01	9.779202e-01	1.412878e+00	7.961142e-01	1.356170e+07	-3.532194e+01	3.454204e+01	5.654695e+01	5.663313e+01	2.500000e+01	1.118699e+02	4.338823e+01	8.850799e+01
5.500000000000000e+01	9.782012e-01	1.425993e+00	7.962714e-01	1.357033e+07	-3.564983e+01	3.487271e+01	5.669592e+01	5.665781e+01	2.500000e+01	1.121087e+02	4.379493e+01	8.932088e+01
5.550000000000000e+01	9.783859e-01	1.439234e+00	7.964232e-01	1.356248e+07	-3.598084e+01	3.520315e+01	5.642162e+01	5.645922e+01	2.500000e+01	1.118965e+02	4.420149e+01	9.013367e+01
5.600000000000000e+01	9.785680e-01	1.452450e+00	7.965659e-01	1.355652e+07	-3.631126e+01	3.553303e+01	5.658686e+01	5.655663e+01	2.500000e+01	1.122271e+02	4.460770e+01	9.094693e+01
5.650000000000000e+01	9.787436e-01	1.465674e+00	7.967069e-01	1.356838e+07	-3.664185e+01	3.586298e+01	5.639459e+01	5.641343e+01	2.500000e+01	1.121195e+02	4.501394e+01	9.175974e+01
5.700000000000000e+01	9.789565e-01	1.478835e+00	7.968450e-01	1.356298e+07	-3.697089e+01	3.619289e+01	5.645009e+01	5.644563e+01	2.500000e+01	1.122878e+02	4.542017e+01	9.257183e+01
5.750000000000000e+01	9.791330e-01	1.492033e+00	7.969769e-01	1.356296e+07	-3.730082e+01	3.652246e+01	5.642027e+01	5.635168e+01	2.500000e+01	1.123319e+02	4.582617e+01	9.338445e+01
5.800000000000000e+01	9.791942e-01	1.505377e+00	7.970997e-01	1.355944e+07	-3.763441e+01	3.685140e+01	5.649694e+01	5.651080e+01	2.500000e+01	1.124838e+02	4.623178e+01	9.419623e+01
5.850000000000000e+01	9.794486e-01	1.518422e+00	7.972212e-01	1.356700e+07	-3.796056e+01	3.718042e+01	5.645330e+01	5.635007e+01	2.500000e+01	1.126179e+02	4.663744e+01	9.500665e+01
