ro	eff	iin	iout	mrfreq	pinavg	poutavg	vds1max	vds2max	vin	vmrpp	vout	vsecpp
5.900000000000000e+01	9.796003e-01	1.531608e+00	7.973371e-01	1.356862e+07	-3.829020e+01	3.750909e+01	5.637445e+01	5.640941e+01	2.500000e+01	1.127070e+02	4.704289e+01	9.581759e+01
5.950000000000000e+01	9.796414e-01	1.544941e+00	7.974449e-01	1.356285e+07	-3.862353e+01	3.783720e+01	5.638420e+01	5.630106e+01	2.500000e+01	1.129373e+02	4.744798e+01	9.662888e+01
6.000000000000000e+01	9.797491e-01	1.558147e+00	7.975460e-01	1.356438e+07	-3.895368e+01	3.816484e+01	5.631833e+01	5.638611e+01	2.500000e+01	1.131061e+02	4.785276e+01	9.743825e+01
6.050000000000000e+01	9.800804e-01	1.570999e+00	7.976471e-01	1.356531e+07	-3.927497e+01	3.849263e+01	5.621531e+01	5.630484e+01	2.500000e+01	1.130510e+02	4.825765e+01	9.824765e+01
6.100000000000000e+01	9.800711e-01	1.584359e+00	7.977380e-01	1.355942e+07	-3.960896e+01	3.881960e+01	5.620733e+01	5.632677e+01	2.500000e+01	1.132733e+02	4.866202e+01	9.905783e+01
6.150000000000000e+01	9.803309e-01	1.597286e+00	7.978291e-01	1.356638e+07	-3.993216e+01	3.914673e+01	5.632289e+01	5.622426e+01	2.500000e+01	1.133400e+02	4.906649e+01	9.986651e+01
6.168502750680849e+01	9.803490e-01	1.602178e+00	7.978579e-01	1.355807e+07	-4.005445e+01	3.926733e+01	5.609506e+01	5.612169e+01	2.500000e+01	1.131957e+02	4.921589e+01	1.001643e+02
6.200000000000000e+01	9.804509e-01	1.610406e+00	7.979111e-01	1.356947e+07	-4.026015e+01	3.947311e+01	5.617088e+01	5.617010e+01	2.500000e+01	1.133290e+02	4.947049e+01	1.006743e+02
6.250000000000000e+01	9.805663e-01	1.623506e+00	7.979857e-01	1.356631e+07	-4.058764e+01	3.979887e+01	5.613128e+01	5.615040e+01	2.500000e+01	1.134803e+02	4.987410e+01	1.014810e+02
6.300000000000000e+01	9.806053e-01	1.636706e+00	7.980534e-01	1.355453e+07	-4.091766e+01	4.012407e+01	5.613100e+01	5.610444e+01	2.500000e+01	1.135846e+02	5.027736e+01	1.022876e+02
6.350000000000000e+01	9.807094e-01	1.649773e+00	7.981144e-01	1.356960e+07	-4.124433e+01	4.044870e+01	5.618586e+01	5.620840e+01	2.500000e+01	1.137277e+02	5.068026e+01	1.030948e+02
6.400000000000000e+01	9.809411e-01	1.662618e+00	7.981737e-01	1.356208e+07	-4.156545e+01	4.077326e+01	5.614565e+01	5.605678e+01	2.500000e+01	1.137206e+02	5.108312e+01	1.039002e+02
6.450000000000000e+01	9.809970e-01	1.675732e+00	7.982263e-01	1.356767e+07	-4.189331e+01	4.109721e+01	5.604142e+01	5.611237e+01	2.500000e+01	1.138012e+02	5.148560e+01	1.047048e+02
6.500000000000000e+01	9.810960e-01	1.688742e+00	7.982712e-01	1.355299e+07	-4.221856e+01	4.142046e+01	5.616483e+01	5.606087e+01	2.500000e+01	1.140342e+02	5.188763e+01	1.055096e+02
6.550000000000000e+01	9.813004e-01	1.701555e+00	7.983127e-01	1.355853e+07	-4.253887e+01	4.174341e+01	5.618603e+01	5.611454e+01	2.500000e+01	1.140922e+02	5.228948e+01	1.063129e+02
6.600000000000000e+01	9.813389e-01	1.714606e+00	7.983428e-01	1.356294e+07	-4.286514e+01	4.206523e+01	5.603315e+01	5.607738e+01	2.500000e+01	1.140049e+02	5.269062e+01	1.071160e+02
6.650000000000000e+01	9.814429e-01	1.727527e+00	7.983693e-01	1.356003e+07	-4.318817e+01	4.238672e+01	5.607207e+01	5.610764e+01	2.500000e+01	1.142216e+02	5.309156e+01	1.079171e+02
6.700000000000000e+01	9.816477e-01	1.740244e+00	7.983902e-01	1.356549e+07	-4.350609e+01	4.270766e+01	5.608432e+01	5.603401e+01	2.500000e+01	1.142217e+02	5.349215e+01	1.087195e+02
6.750000000000000e+01	9.816429e-01	1.753283e+00	7.984001e-01	1.357179e+07	-4.383207e+01	4.302744e+01	5.617084e+01	5.622605e+01	2.500000e+01	1.144266e+02	5.389201e+01	1.095187e+02
6.800000000000000e+01	9.817066e-01	1.766199e+00	7.984101e-01	1.355876e+07	-4.415499e+01	4.334724e+01	5.620289e+01	5.605881e+01	2.500000e+01	1.144821e+02	5.429189e+01	1.103200e+02
6.850000000000000e+01	9.818344e-01	1.778951e+00	7.984093e-01	1.356330e+07	-4.447377e+01	4.366588e+01	5.612900e+01	5.606543e+01	2.500000e+01	1.143999e+02	5.469104e+01	1.111170e+02
6.900000000000000e+01	9.818816e-01	1.791834e+00	7.984057e-01	1.356515e+07	-4.479585e+01	4.398421e+01	5.614766e+01	5.602849e+01	2.500000e+01	1.145030e+02	5.508999e+01	1.119151e+02
6.950000000000000e+01	9.819815e-01	1.804577e+00	7.983931e-01	1.355057e+07	-4.511443e+01	4.430154e+01	5.621257e+01	5.615204e+01	2.500000e+01	1.146138e+02	5.548832e+01	1.127118e+02
7.000000000000000e+01	9.820319e-01	1.817382e+00	7.983745e-01	1.356415e+07	-4.543455e+01	4.461818e+01	5.619218e+01	5.614550e+01	2.500000e+01	1.146388e+02	5.588622e+01	1.135082e+02
7.050000000000000e+01	9.821104e-01	1.830112e+00	7.983517e-01	1.355132e+07	-4.575281e+01	4.493431e+01	5.611592e+01	5.616734e+01	2.500000e+01	1.146882e+02	5.628379e+01	1.143030e+02
7.100000000000000e+01	9.821571e-01	1.842855e+00	7.983194e-01	1.355968e+07	-4.607138e+01	4.524933e+01	5.622113e+01	5.624026e+01	2.500000e+01	1.148691e+02	5.668068e+01	1.150986e+02
7.150000000000000e+01	9.822338e-01	1.855521e+00	7.982835e-01	1.356673e+07	-4.638803e+01	4.556388e+01	5.622249e+01	5.620039e+01	2.500000e+01	1.148342e+02	5.707727e+01	1.158913e+02
7.200000000000000e+01	9.822949e-01	1.868178e+00	7.982402e-01	1.356766e+07	-4.670445e+01	4.587754e+01	5.621744e+01	5.617667e+01	2.500000e+01	1.149787e+02	5.747329e+01	1.166841e+02
7.250000000000000e+01	9.822555e-01	1.880985e+00	7.981889e-01	1.355611e+07	-4.702463e+01	4.619020e+01	5.634942e+01	5.626188e+01	2.500000e+01	1.151639e+02	5.786870e+01	1.174728e+02
7.300000000000000e+01	9.823972e-01	1.893435e+00	7.981363e-01	1.356255e+07	-4.733587e+01	4.650262e+01	5.623798e+01	5.627699e+01	2.500000e+01	1.150801e+02	5.826395e+01	1.182658e+02
7.350000000000000e+01	9.824762e-01	1.905970e+00	7.980777e-01	1.356110e+07	-4.764925e+01	4.681426e+01	5.625865e+01	5.621212e+01	2.500000e+01	1.150541e+02	5.865871e+01	1.190554e+02
7.400000000000000e+01	9.824441e-01	1.918665e+00	7.980083e-01	1.354886e+07	-4.796662e+01	4.712452e+01	5.628719e+01	5.638342e+01	2.500000e+01	1.152929e+02	5.905261e+01	1.198428e+02
7.450000000000000e+01	9.825430e-01	1.931067e+00	7.979324e-01	1.356433e+07	-4.827667e+01	4.743391e+01	5.629230e+01	5.629637e+01	2.500000e+01	1.152199e+02	5.944596e+01	1.206303e+02
