Time (s),VIN,IIN,VOUT
0.0,24.1912499904,1.823912502784,51.27687501824
5e-10,24.15999998848,1.82547500288,51.23000001536
1e-09,24.14437498752,1.827037502976,51.15187501056
1.5000000000000002e-09,24.15999998848,1.831725003264,51.0581250048
2e-09,24.14437498752,1.83328750336,51.02687500288
2.5e-09,24.23812499328,1.837975003648,50.98
3.0000000000000004e-09,24.30062499712,1.836412503552,50.9018749952
3.5000000000000003e-09,24.36312500096,1.831725003264,50.823749990399996
4e-09,24.39437500288,1.828600003072,50.808124989439996
4.500000000000001e-09,24.37875000192,1.823912502784,50.823749990399996
5e-09,24.36312500096,1.822350002688,50.91749999616
5.5000000000000004e-09,24.3475,1.819225002496,51.01125000192
6.000000000000001e-09,24.3475,1.819225002496,51.0581250048
6.5e-09,24.28499999616,1.819225002496,51.08937500672
7.000000000000001e-09,24.15999998848,1.820787502592,51.15187501056
7.500000000000001e-09,24.0349999808,1.822350002688,51.19875001344
8e-09,24.05062498176,1.823912502784,51.2143750144
8.5e-09,24.14437498752,1.823912502784,51.15187501056
9.000000000000001e-09,24.2693749952,1.827037502976,51.04250000384
9.5e-09,24.36312500096,1.828600003072,50.94874999808
1e-08,24.39437500288,1.828600003072,50.9018749952
1.0500000000000001e-08,24.4256250048,1.828600003072,50.870624993279996
1.1000000000000001e-08,24.47250000768,1.82547500288,50.9018749952
1.15e-08,24.48812500864,1.822350002688,50.886249994239996
1.2000000000000002e-08,24.4256250048,1.820787502592,50.91749999616
1.2500000000000001e-08,24.33187499904,1.819225002496,50.96437499904
1.3e-08,24.25374999424,1.820787502592,51.02687500288
1.35e-08,24.14437498752,1.82547500288,51.12062500864
1.4000000000000001e-08,24.1131249856,1.827037502976,51.1362500096
1.45e-08,24.15999998848,1.82547500288,51.10500000768
1.5000000000000002e-08,24.20687499136,1.82547500288,51.10500000768
1.55e-08,24.23812499328,1.830162503168,51.08937500672
1.6e-08,24.2693749952,1.83328750336,51.04250000384
1.6500000000000002e-08,24.30062499712,1.834850003456,51.02687500288
1.7e-08,24.44125000576,1.831725003264,50.94874999808
1.75e-08,24.64437501824,1.830162503168,50.870624993279996
1.8000000000000002e-08,24.69125002112,1.827037502976,50.870624993279996
1.85e-08,24.51937501056,1.822350002688,50.93312499712
1.9e-08,24.31624999808,1.819225002496,50.99562500096
1.9500000000000003e-08,24.15999998848,1.819225002496,50.99562500096
2e-08,24.003749978880002,1.820787502592,51.02687500288
2.05e-08,23.90999997312,1.823912502784,51.0581250048
2.1000000000000003e-08,23.92562497408,1.82547500288,51.10500000768
2.15e-08,23.956874976,1.827037502976,51.10500000768
2.2000000000000002e-08,24.0349999808,1.831725003264,51.02687500288
2.2500000000000003e-08,24.15999998848,1.831725003264,50.96437499904
2.3e-08,24.33187499904,1.83328750336,50.94874999808
2.3500000000000002e-08,24.45687500672,1.834850003456,50.886249994239996
2.4000000000000003e-08,24.56625001344,1.831725003264,50.792499988479996
2.45e-08,24.62875001728,1.828600003072,50.776874987519996
2.5000000000000002e-08,24.675625020160002,1.828600003072,50.776874987519996
2.55e-08,24.6600000192,1.827037502976,50.823749990399996
2.6e-08,24.5037500096,1.830162503168,50.91749999616
2.6500000000000002e-08,24.23812499328,1.831725003264,51.02687500288
2.7e-08,23.94124997504,1.82547500288,51.10500000768
2.75e-08,23.8006249664,1.822350002688,51.10500000768
2.8000000000000003e-08,23.86312497024,1.822350002688,51.0581250048
2.85e-08,24.0349999808,1.823912502784,51.01125000192
2.9e-08,24.22249999232,1.834850003456,51.01125000192
2.9500000000000003e-08,24.22249999232,1.837975003648,51.04250000384
3.0000000000000004e-08,24.15999998848,1.839537503744,50.98
3.05e-08,24.23812499328,1.83328750336,50.870624993279996
3.1e-08,24.44125000576,1.831725003264,50.839374991359996
3.1500000000000004e-08,24.61312501632,1.827037502976,50.823749990399996
3.2e-08,24.69125002112,1.827037502976,50.839374991359996
3.25e-08,24.59750001536,1.827037502976,50.9018749952
3.3000000000000004e-08,24.36312500096,1.831725003264,50.93312499712
3.35e-08,24.1131249856,1.83328750336,50.94874999808
3.4e-08,23.94124997504,1.83328750336,50.99562500096
3.4500000000000005e-08,23.83187496832,1.83328750336,51.01125000192
3.5e-08,23.86312497024,1.83328750336,51.07375000576
3.55e-08,24.01937497984,1.836412503552,51.02687500288
3.6000000000000005e-08,24.09749998464,1.837975003648,50.98
3.65e-08,24.09749998464,1.84110000384,50.91749999616
3.7e-08,24.14437498752,1.84110000384,50.870624993279996
3.7500000000000005e-08,24.23812499328,1.837975003648,50.886249994239996
3.8e-08,24.44125000576,1.83328750336,50.886249994239996
3.85e-08,24.61312501632,1.830162503168,50.870624993279996
3.9000000000000005e-08,24.69125002112,1.831725003264,50.870624993279996
3.95e-08,24.64437501824,1.83328750336,50.9018749952
4e-08,24.4256250048,1.83328750336,50.96437499904
4.0500000000000005e-08,24.15999998848,1.83328750336,51.0581250048
4.1e-08,23.972499976960002,1.830162503168,51.08937500672
4.15e-08,23.89437497216,1.830162503168,51.02687500288
4.2000000000000006e-08,23.83187496832,1.83328750336,50.99562500096
4.2500000000000003e-08,23.83187496832,1.836412503552,51.02687500288
4.3e-08,23.86312497024,1.839537503744,51.07375000576
4.3500000000000006e-08,23.988124977920002,1.8426625039359998,51.01125000192
4.4000000000000004e-08,24.14437498752,1.84110000384,50.93312499712
4.45e-08,24.23812499328,1.839537503744,50.839374991359996
4.5000000000000006e-08,24.37875000192,1.837975003648,50.839374991359996
4.5500000000000004e-08,24.47250000768,1.834850003456,50.870624993279996
