ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_GS_A_pp,V_GS_A_amp,V_GS_A_max,V_GS_A_top,V_GS_A_min,V_GS_A_bot,V_GS_B_pp,V_GS_B_amp,V_GS_B_max,V_GS_B_top,V_GS_B_min,V_GS_B_bot,V_DS_A_pp,V_DS_A_amp,V_DS_A_max,V_DS_A_top,V_DS_A_min,V_DS_A_bot,V_DS_B_pp
50.0,24.932589,0.120467576,3.0035685602342643,0.04944576,0.001499703,-1.120597e-05,7.44,4.88,5.5,4.88,-2.0,0.0,7.13,4.94,5.5,4.88,-1.63,-0.06,58.1,52.5,51.9,50.0,-5.6,-1.9,56.3
50.5,24.93328,0.120496849,3.00438167523472,0.04953545,0.001491335,-2.348979e-05,7.5,4.88,5.5,4.88,-1.94,-0.06,7.13,5.0,5.5,4.94,-1.69,-0.13,56.9,51.9,51.9,50.0,-5.0,-1.9,56.3
51.0,24.931855,0.12044849,3.0030042876489498,0.04900132,0.001512412,-2.060105e-05,7.5,4.88,5.5,4.88,-2.06,0.0,7.19,5.0,5.5,4.88,-1.69,-0.13,56.9,52.5,51.9,50.0,-5.6,-1.9,55.6
51.5,24.932247,0.120508026,3.004535869714422,0.04894813,0.001427568,-1.518024e-05,7.63,4.94,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,57.5,51.3,51.9,50.6,-5.6,-1.9,56.9
52.0,24.932692,0.120532712,3.005204984220704,0.04866556,0.001457853,-1.569821e-05,7.5,4.81,5.5,4.88,-2.0,0.0,7.19,5.06,5.5,4.88,-1.63,-0.13,57.5,51.9,52.5,49.4,-5.6,-1.9,56.3
52.5,24.93274,0.120500681,3.00441214919594,0.04923661,0.001458873,-2.443723e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,56.3,51.9,51.3,50.0,-5.0,-1.9,56.3
53.0,24.932634,0.1204885,3.004095671709,0.0494363,0.001529709,-2.820289e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.06,5.5,4.94,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
53.5,24.932477,0.120535191,3.0052408772981067,0.04922019,0.001417823,-1.333965e-05,7.5,4.88,5.5,4.88,-1.94,0.0,7.13,5.0,5.5,4.88,-1.63,-0.06,58.8,52.5,52.5,50.6,-6.3,-1.9,56.3
54.0,24.933292,0.120548015,3.00565885801538,0.04951125,0.001499838,-1.87976e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.56,4.88,-1.63,-0.13,58.1,51.9,51.9,50.0,-5.6,-1.9,56.3
54.5,24.933764,0.120537044,3.005442208353616,0.04913929,0.001424296,-2.112106e-05,7.5,4.88,5.5,4.88,-2.0,0.0,7.13,5.06,5.5,4.88,-1.63,-0.13,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
55.0,24.933708,0.120554685,3.0058753138219796,0.04932406,0.001501505,-2.193754e-05,7.56,4.88,5.5,4.88,-2.0,0.0,7.13,5.0,5.5,4.88,-1.63,-0.06,57.5,52.5,51.9,50.6,-5.6,-1.9,56.3
55.5,24.933837,0.120538474,3.005486662944738,0.04930171,0.00149256,-1.885569e-05,7.56,4.88,5.5,4.88,-1.94,0.0,7.13,5.0,5.5,4.88,-1.63,-0.13,57.5,51.9,51.9,50.0,-5.6,-1.9,56.3
56.0,24.933874,0.120577561,3.006465713201314,0.04897449,0.001458502,-1.561312e-05,7.44,4.88,5.44,4.88,-2.0,0.0,7.25,5.0,5.56,4.88,-1.69,-0.13,56.9,53.8,51.9,51.9,-5.0,-1.9,56.9
