ROUT,V_IN,I_IN,P_IN,V_OUT,I_OUT,P_OUT,V_DS_A_pp,V_DS_B_pp,V_DS_A_max,V_DS_B_max,MR_FREQ,V_MR_PP,V_RECT_PP,V_RECT_RMS
50.0,25.005658,1.39689407,34.93025537664806,39.12843,0.7822179,30.60776,57.0,60.0,57.0,59.0,13700000.0,122.0,89.0,34.78
50.5,25.004737,1.41033327,35.26501249869999,39.53555,0.7825025,30.91501,57.0,61.0,57.0,61.0,13500000.0,122.0,89.0,35.18
51.0,25.003921,1.42249009,35.56782983364288,39.90611,0.7823825,31.23764,56.0,60.0,56.0,59.0,13700000.0,123.0,89.0,35.45
51.5,25.021981,1.43695688,35.95550774917928,40.3521,0.7827894,31.58576,59.0,59.0,59.0,60.0,13600000.0,122.0,92.0,35.65
52.0,25.002748,1.44762942,36.194713585646156,40.68676,0.7822543,31.83986,56.0,60.0,56.0,60.0,13600000.0,122.0,91.0,36.05
52.5,25.001256,1.46020156,36.506873013159364,41.07993,0.782305,32.13678,55.0,60.0,57.0,60.0,13600000.0,122.0,91.0,36.24
53.0,25.000043,1.47289608,36.822465334531444,41.4715,0.782277,32.42978,55.0,60.0,56.0,59.0,13600000.0,123.0,94.0,36.72
53.5,24.996947,1.48536562,37.12960567876214,41.85514,0.7819191,32.71442,56.0,59.0,56.0,59.0,13600000.0,123.0,94.0,36.9
54.0,25.000459,1.49757745,37.44012363804955,42.24767,0.7818401,33.03059,56.0,60.0,56.0,60.0,13600000.0,123.0,95.0,37.32
54.5,24.999637,1.51034291,37.75802449552367,42.6396,0.7819912,33.34386,55.0,59.0,55.0,59.0,13600000.0,123.0,97.0,37.55
55.0,24.998829,1.5230069,38.0733890589201,43.02421,0.7818966,33.64313,56.0,59.0,56.0,59.0,13500000.0,123.0,95.0,37.84
55.5,24.998071,1.53560981,38.38728305867651,43.41462,0.7818432,33.92521,55.0,59.0,56.0,59.0,13600000.0,123.0,97.0,38.28
56.0,24.997006,1.54721861,38.67583287748166,43.78553,0.7816283,34.21386,55.0,59.0,55.0,59.0,13600000.0,122.0,97.0,38.37
56.5,24.996031,1.55928076,38.97583021466356,44.16074,0.7814006,34.50597,55.0,59.0,55.0,59.0,13600000.0,123.0,98.0,38.78
57.0,24.995437,1.57098907,39.26755832687359,44.52551,0.7811078,34.77941,56.0,59.0,55.0,59.0,13600000.0,123.0,100.0,38.93
57.5,24.994172,1.5833953,39.5756544721916,44.91472,0.7810344,35.07797,56.0,59.0,56.0,59.0,13600000.0,125.0,102.0,39.35
58.0,24.993697,1.59591255,39.88775471319735,45.30794,0.7808295,35.37589,56.0,59.0,56.0,59.0,13500000.0,123.0,102.0,39.63
58.5,24.992512,1.60827685,40.1948784729472,45.69682,0.7807517,35.67728,57.0,59.0,56.0,59.0,13600000.0,123.0,100.0,40.0
59.0,24.991706,1.61969013,40.47881954006178,46.061,0.7803916,35.94184,56.0,59.0,56.0,59.0,13600000.0,123.0,103.0,40.19
59.5,24.990759,1.63203887,40.78589007880233,46.44687,0.7803237,36.24364,55.0,59.0,55.0,59.0,13600000.0,125.0,103.0,40.52
60.0,24.989581,1.64339616,41.06778145540896,46.80367,0.7801088,36.51048,56.0,59.0,56.0,59.0,13600000.0,125.0,103.0,40.83
60.5,24.988179,1.65545155,41.36671965722745,47.1819,0.7795456,36.79541,55.0,59.0,56.0,59.0,13400000.0,123.0,105.0,41.26
61.0,24.987133,1.66780963,41.67378104349079,47.57441,0.7795884,37.09596,55.0,59.0,56.0,59.0,13600000.0,123.0,106.0,41.5
61.5,24.986291,1.67934964,41.96071879578525,47.96241,0.7795434,37.38906,55.0,59.0,55.0,59.0,13700000.0,123.0,106.0,41.74
61.68502750680849,24.986269,1.68385148,42.07316603532812,48.09475,0.7792871,37.48825,56.0,59.0,56.0,59.0,13600000.0,125.0,105.0,41.89
62.0,24.980454,1.69029827,42.22441818001458,48.28994,0.7788275,37.60915,56.0,59.0,55.0,59.0,13700000.0,125.0,106.0,42.06
62.5,24.956,1.70270098,42.492605656879995,48.64923,0.7782949,37.86596,56.0,59.0,56.0,59.0,13600000.0,125.0,108.0,42.36
63.0,24.958431,1.71384714,42.77493558823734,49.03531,0.7780465,38.15228,56.0,59.0,55.0,58.0,13600000.0,123.0,109.0,42.67
63.5,24.957291,1.72497306,43.050654625580464,49.38927,0.7777765,38.41275,55.0,59.0,55.0,59.0,13600000.0,123.0,109.0,42.91
64.0,24.956516,1.7369133,43.3473045620628,49.77657,0.7775354,38.69455,55.0,59.0,56.0,58.0,13600000.0,123.0,109.0,43.09
64.5,24.948681,1.74615736,43.56432295044216,50.0899,0.7767973,38.90881,55.0,58.0,55.0,59.0,13600000.0,125.0,109.0,43.42
65.0,24.956146,1.75798558,43.872544800374676,50.48066,0.7761962,39.17464,55.0,57.0,55.0,57.0,13600000.0,125.0,109.0,43.8
65.5,24.969902,1.77229203,44.25395830448106,50.90983,0.7772626,39.56971,55.0,58.0,55.0,57.0,13600000.0,123.0,111.0,44.14
66.0,24.968915,1.78307653,44.52148631606495,51.28055,0.7767097,39.84241,55.0,57.0,55.0,57.0,13600000.0,125.0,113.0,44.31
66.5,24.967662,1.7937306,44.7852593398572,51.64736,0.7760972,40.08745,55.0,57.0,55.0,57.0,13500000.0,125.0,114.0,44.75
67.0,24.967511,1.80386833,45.038102371826625,51.99688,0.775712,40.33435,55.0,57.0,55.0,57.0,13500000.0,123.0,114.0,44.84
67.5,24.967278,1.81405101,45.29191587285078,52.34454,0.7749369,40.56159,55.0,57.0,56.0,57.0,13600000.0,125.0,113.0,45.26
68.0,24.967284,1.82397009,45.53957924453556,52.68459,0.7744573,40.79835,55.0,57.0,55.0,58.0,13600000.0,122.0,116.0,45.46
68.5,24.96722,1.83407726,45.7918104474172,53.04138,0.7739324,41.03941,55.0,56.0,55.0,56.0,13600000.0,127.0,116.0,45.74
69.0,24.967283,1.84348674,46.02685514432741,53.35636,0.7731897,41.25986,55.0,57.0,55.0,57.0,13600000.0,125.0,116.0,45.98
69.5,24.967243,1.85314801,46.26799668063643,53.70317,0.7725902,41.48977,55.0,57.0,55.0,57.0,13600000.0,125.0,116.0,46.2
70.0,24.967344,1.86292845,46.5123754585368,54.04266,0.7720748,41.72026,55.0,57.0,55.0,57.0,13600000.0,127.0,116.0,46.39
70.5,24.967216,1.87392965,46.7868063403544,54.42793,0.7713539,41.98272,55.0,57.0,55.0,57.0,13600000.0,125.0,117.0,46.66
71.0,24.967041,1.88282712,47.008621900951916,54.72936,0.7704726,42.15958,55.0,57.0,56.0,56.0,13600000.0,125.0,119.0,47.04
71.5,24.966916,1.89153237,47.22572979307092,55.0359,0.7701081,42.39032,55.0,56.0,55.0,57.0,13600000.0,125.0,119.0,47.32
72.0,24.966977,1.90272348,47.50525336251996,55.4221,0.7694507,42.64254,55.0,57.0,55.0,57.0,13500000.0,127.0,119.0,47.5
72.5,24.967117,1.91242062,47.747629372752534,55.75832,0.7690197,42.86752,55.0,56.0,55.0,56.0,13500000.0,127.0,120.0,47.65
73.0,24.967329,1.9248452,48.0582433824708,56.18613,0.7683232,43.17474,56.0,57.0,56.0,57.0,13500000.0,125.0,119.0,48.04
73.5,24.967519,1.93226217,48.243792442456225,56.44703,0.7677274,43.33049,56.0,57.0,55.0,57.0,13600000.0,125.0,119.0,48.26
74.0,24.967757,1.94201958,48.487872962682054,56.78435,0.7671915,43.56446,56.0,56.0,55.0,56.0,13500000.0,127.0,122.0,48.45
74.5,24.967828,1.95178423,48.73181294775244,57.13045,0.7665194,43.78659,55.0,58.0,55.0,57.0,13600000.0,125.0,120.0,48.68
