Time (s),V_PRI,V_SEC,V_IN
0.0,-132.9999270400001,30.000003839999998,24.23637491648
5e-10,-148.62492799999995,-16.87499904,24.22074991552
1e-09,-164.24992896000003,-32.5,24.23637491648
1.5000000000000002e-09,-164.24992896000003,-16.87499904,24.20512491456
2e-09,-148.62492799999995,-16.87499904,24.22074991552
2.5e-09,-164.24992896000003,-16.87499904,24.22074991552
3.0000000000000004e-09,-148.62492799999995,-16.87499904,24.15824991168
3.5000000000000003e-09,-179.8749299200001,-48.12500096,24.17387491264
4e-09,-164.24992896000003,-16.87499904,24.14262491072
4.500000000000001e-09,-164.24992896000003,-32.5,24.14262491072
5e-09,-148.62492799999995,-48.12500096,24.12699990976
5.5000000000000004e-09,-179.8749299200001,-63.75000192,24.14262491072
6.000000000000001e-09,-179.8749299200001,-63.75000192,24.14262491072
6.5e-09,-179.8749299200001,-63.75000192,24.14262491072
7.000000000000001e-09,-179.8749299200001,-48.12500096,24.17387491264
7.500000000000001e-09,-195.49993087999997,-95.00000384,24.20512491456
8e-09,-179.8749299200001,-48.12500096,24.1894999136
8.5e-09,-195.49993087999997,-63.75000192,24.20512491456
9.000000000000001e-09,-195.49993087999997,-110.6250048,24.20512491456
9.5e-09,-195.49993087999997,-79.37500288,24.17387491264
1e-08,-179.8749299200001,-79.37500288,24.15824991168
1.0500000000000001e-08,-195.49993087999997,-95.00000384,24.14262491072
1.1000000000000001e-08,-211.12493184000004,-79.37500288,24.1113749088
1.15e-08,-211.12493184000004,-110.6250048,24.1113749088
1.2000000000000002e-08,-211.12493184000004,-95.00000384,24.12699990976
1.2500000000000001e-08,-211.12493184000004,-110.6250048,24.12699990976
1.3e-08,-195.49993087999997,-126.25000576,24.1113749088
1.35e-08,-226.74993280000012,-126.25000576,24.1113749088
1.4000000000000001e-08,-242.37493375999998,-141.87500672,24.12699990976
1.45e-08,-226.74993280000012,-126.25000576,24.14262491072
1.5000000000000002e-08,-226.74993280000012,-141.87500672,24.15824991168
1.55e-08,-242.37493375999998,-141.87500672,24.1894999136
1.6e-08,-242.37493375999998,-141.87500672,24.15824991168
1.6500000000000002e-08,-242.37493375999998,-141.87500672,24.12699990976
1.7e-08,-257.99993472000006,-157.50000768,24.14262491072
1.75e-08,-242.37493375999998,-157.50000768,24.12699990976
1.8000000000000002e-08,-242.37493375999998,-141.87500672,24.15824991168
1.85e-08,-257.99993472000006,-157.50000768,24.15824991168
1.9e-08,-257.99993472000006,-157.50000768,24.12699990976
1.9500000000000003e-08,-242.37493375999998,-173.12500864,24.12699990976
2e-08,-257.99993472000006,-157.50000768,24.09574990784
2.05e-08,-257.99993472000006,-188.7500096,24.09574990784
2.1000000000000003e-08,-242.37493375999998,-188.7500096,24.1113749088
2.15e-08,-273.62493568000014,-188.7500096,24.12699990976
2.2000000000000002e-08,-257.99993472000006,-188.7500096,24.12699990976
2.2500000000000003e-08,-242.37493375999998,-188.7500096,24.14262491072
2.3e-08,-257.99993472000006,-204.37501056,24.15824991168
2.3500000000000002e-08,-257.99993472000006,-204.37501056,24.1894999136
2.4000000000000003e-08,-242.37493375999998,-220.00001152,24.1894999136
2.45e-08,-242.37493375999998,-220.00001152,24.17387491264
2.5000000000000002e-08,-257.99993472000006,-220.00001152,24.17387491264
2.55e-08,-242.37493375999998,-204.37501056,24.15824991168
2.6e-08,-226.74993280000012,-220.00001152,24.20512491456
2.6500000000000002e-08,-242.37493375999998,-204.37501056,24.22074991552
2.7e-08,-242.37493375999998,-204.37501056,24.20512491456
2.75e-08,-226.74993280000012,-220.00001152,24.1894999136
2.8000000000000003e-08,-226.74993280000012,-204.37501056,24.20512491456
2.85e-08,-226.74993280000012,-235.62501247999998,24.23637491648
2.9e-08,-211.12493184000004,-235.62501247999998,24.25199991744
2.9500000000000003e-08,-242.37493375999998,-235.62501247999998,24.25199991744
3.0000000000000004e-08,-226.74993280000012,-251.25001344,24.25199991744
3.05e-08,-226.74993280000012,-251.25001344,24.23637491648
3.1e-08,-226.74993280000012,-251.25001344,24.22074991552
3.1500000000000004e-08,-226.74993280000012,-251.25001344,24.25199991744
3.2e-08,-211.12493184000004,-235.62501247999998,24.20512491456
3.25e-08,-211.12493184000004,-251.25001344,24.17387491264
3.3000000000000004e-08,-226.74993280000012,-251.25001344,24.14262491072
3.35e-08,-211.12493184000004,-251.25001344,24.1113749088
3.4e-08,-195.49993087999997,-251.25001344,24.14262491072
3.4500000000000005e-08,-211.12493184000004,-251.25001344,24.14262491072
3.5e-08,-195.49993087999997,-251.25001344,24.14262491072
3.55e-08,-211.12493184000004,-266.8750144,24.14262491072
3.6000000000000005e-08,-211.12493184000004,-266.8750144,24.15824991168
3.65e-08,-195.49993087999997,-266.8750144,24.17387491264
3.7e-08,-179.8749299200001,-266.8750144,24.1894999136
3.7500000000000005e-08,-195.49993087999997,-282.50001536,24.23637491648
3.8e-08,-179.8749299200001,-282.50001536,24.25199991744
3.85e-08,-179.8749299200001,-266.8750144,24.2676249184
3.9000000000000005e-08,-179.8749299200001,-266.8750144,24.25199991744
3.95e-08,-179.8749299200001,-266.8750144,24.28324991936
4e-08,-164.24992896000003,-266.8750144,24.29887492032
4.0500000000000005e-08,-164.24992896000003,-266.8750144,24.28324991936
4.1e-08,-164.24992896000003,-282.50001536,24.29887492032
4.15e-08,-148.62492799999995,-266.8750144,24.2676249184
4.2000000000000006e-08,-132.9999270400001,-282.50001536,24.2676249184
4.2500000000000003e-08,-132.9999270400001,-266.8750144,24.2676249184
4.3e-08,-148.62492799999995,-266.8750144,24.25199991744
4.3500000000000006e-08,-132.9999270400001,-266.8750144,24.25199991744
4.4000000000000004e-08,-117.37492608000002,-266.8750144,24.25199991744
4.45e-08,-117.37492608000002,-282.50001536,24.25199991744
4.5000000000000006e-08,-101.74992511999994,-282.50001536,24.23637491648
4.5500000000000004e-08,-117.37492608000002,-282.50001536,24.2676249184
4.6e-08,-117.37492608000002,-266.8750144,24.25199991744
4.6500000000000006e-08,-101.74992511999994,-266.8750144,24.25199991744
4.7000000000000004e-08,-101.74992511999994,-266.8750144,24.22074991552
4.75e-08,-101.74992511999994,-266.8750144,24.23637491648
4.8000000000000006e-08,-70.49992320000001,-251.25001344,24.20512491456
4.8500000000000004e-08,-86.12492416000009,-251.25001344,24.22074991552
4.9e-08,-86.12492416000009,-266.8750144,24.22074991552
4.95e-08,-70.49992320000001,-251.25001344,24.22074991552
5.0000000000000004e-08,-70.49992320000001,-251.25001344,24.2676249184
5.05e-08,-54.87492223999993,-266.8750144,24.28324991936
5.1e-08,-70.49992320000001,-251.25001344,24.29887492032
5.1500000000000005e-08,-70.49992320000001,-266.8750144,24.33012492224
5.2e-08,-70.49992320000001,-235.62501247999998,24.36137492416
5.25e-08,-54.87492223999993,-251.25001344,24.39262492608
5.3000000000000005e-08,-39.24992128000008,-251.25001344,24.40824992704
5.35e-08,-54.87492223999993,-251.25001344,24.40824992704
5.4e-08,-54.87492223999993,-251.25001344,24.40824992704
5.4500000000000005e-08,-39.24992128000008,-235.62501247999998,24.423874928
5.5e-08,-39.24992128000008,-220.00001152,24.40824992704
5.55e-08,-39.24992128000008,-220.00001152,24.423874928
5.6000000000000005e-08,-23.62492032,-220.00001152,24.423874928
5.65e-08,-23.62492032,-235.62501247999998,24.40824992704
5.7e-08,-23.62492032,-235.62501247999998,24.39262492608
5.7500000000000005e-08,-23.62492032,-220.00001152,24.37699992512
5.8e-08,7.62508159999993,-204.37501056,24.39262492608
5.85e-08,-7.999919360000149,-220.00001152,24.40824992704
5.9000000000000006e-08,-7.999919360000149,-188.7500096,24.39262492608
5.9500000000000003e-08,7.62508159999993,-204.37501056,24.39262492608
6.000000000000001e-08,7.62508159999993,-188.7500096,24.39262492608
6.05e-08,7.62508159999993,-204.37501056,24.39262492608
6.1e-08,23.25008256000001,-204.37501056,24.39262492608
6.15e-08,23.25008256000001,-204.37501056,24.39262492608
6.2e-08,23.25008256000001,-204.37501056,24.36137492416
6.250000000000001e-08,38.87508351999986,-188.7500096,24.33012492224
6.300000000000001e-08,38.87508351999986,-188.7500096,24.29887492032
6.35e-08,23.25008256000001,-173.12500864,24.31449992128
6.4e-08,54.50008447999994,-173.12500864,24.28324991936
6.45e-08,38.87508351999986,-188.7500096,24.2676249184
6.5e-08,23.25008256000001,-173.12500864,24.28324991936
6.55e-08,54.50008447999994,-157.50000768,24.25199991744
6.600000000000001e-08,70.12508544000002,-173.12500864,24.28324991936
6.65e-08,70.12508544000002,-157.50000768,24.29887492032
6.7e-08,70.12508544000002,-141.87500672,24.28324991936
6.75e-08,54.50008447999994,-157.50000768,24.29887492032
6.8e-08,70.12508544000002,-126.25000576,24.31449992128
6.85e-08,70.12508544000002,-157.50000768,24.33012492224
6.900000000000001e-08,85.75008639999987,-157.50000768,24.3457499232
6.950000000000001e-08,70.12508544000002,-141.87500672,24.3457499232
7e-08,85.75008639999987,-141.87500672,24.33012492224
7.05e-08,85.75008639999987,-110.6250048,24.33012492224
7.1e-08,70.12508544000002,-110.6250048,24.29887492032
7.15e-08,70.12508544000002,-110.6250048,24.31449992128
7.200000000000001e-08,85.75008639999987,-95.00000384,24.29887492032
7.250000000000001e-08,85.75008639999987,-110.6250048,24.28324991936
7.3e-08,70.12508544000002,-126.25000576,24.25199991744
7.35e-08,101.37508735999995,-110.6250048,24.23637491648
7.4e-08,117.00008832000003,-95.00000384,24.2676249184
7.45e-08,101.37508735999995,-79.37500288,24.28324991936
7.500000000000001e-08,117.00008832000003,-79.37500288,24.28324991936
7.550000000000001e-08,101.37508735999995,-95.00000384,24.2676249184
7.6e-08,117.00008832000003,-79.37500288,24.2676249184
7.65e-08,117.00008832000003,-79.37500288,24.2676249184
7.7e-08,132.62508927999988,-79.37500288,24.25199991744
7.75e-08,117.00008832000003,-95.00000384,24.25199991744
7.800000000000001e-08,132.62508927999988,-63.75000192,24.23637491648
7.850000000000001e-08,132.62508927999988,-63.75000192,24.2676249184
7.9e-08,117.00008832000003,-48.12500096,24.25199991744
7.95e-08,132.62508927999988,-63.75000192,24.2676249184
8e-08,148.25009023999996,-32.5,24.2676249184
8.05e-08,148.25009023999996,-63.75000192,24.2676249184
8.100000000000001e-08,132.62508927999988,-48.12500096,24.2676249184
8.150000000000001e-08,148.25009023999996,-48.12500096,24.23637491648
8.2e-08,163.87509120000004,-16.87499904,24.2676249184
8.25e-08,163.87509120000004,-1.249998080000001,24.28324991936
8.3e-08,163.87509120000004,-1.249998080000001,24.2676249184
8.35e-08,148.25009023999996,-16.87499904,24.2676249184
8.400000000000001e-08,163.87509120000004,-1.249998080000001,24.2676249184
8.450000000000001e-08,163.87509120000004,-16.87499904,24.25199991744
8.500000000000001e-08,195.12509311999997,-16.87499904,24.23637491648
8.55e-08,163.87509120000004,-1.249998080000001,24.23637491648
8.6e-08,179.5000921599999,14.375002879999997,24.20512491456
8.65e-08,179.5000921599999,14.375002879999997,24.1894999136
8.700000000000001e-08,179.5000921599999,-1.249998080000001,24.20512491456
