time	V(n_load)	V(ng)	V(nsw)
0.000000000000000e+00	1.389797650428556e+01	-6.384186599048350e-02	2.750519662664950e+01
3.954654732483097e-13	1.389802829429142e+01	-6.384323534690860e-02	2.750446607377998e+01
1.186396423133061e-12	1.389813185112150e+01	-6.384597936656741e-02	2.750300500089520e+01
2.768258319514431e-12	1.389833887205749e+01	-6.385148856814460e-02	2.750008298688813e+01
5.931982115665304e-12	1.389875254305256e+01	-6.386258926347917e-02	2.749423948863802e+01
1.225942970457892e-11	1.389957840169389e+01	-6.388510147477308e-02	2.748255463213069e+01
2.491432488579428e-11	1.390122418687276e+01	-6.393135866970871e-02	2.745919364759591e+01
1.008436959696983e-10	1.391093296164459e+01	-6.422961189603441e-02	2.731928730245445e+01
2.020828574160331e-10	1.392343639991388e+01	-6.462088647083269e-02	2.713346765767679e+01
3.495754827848182e-10	1.394085136312391e+01	-6.509526736715074e-02	2.686402058154497e+01
1.087038609625356e-09	1.401598675214044e+01	-6.666827415507788e-02	2.553463308278827e+01
1.234531234994141e-09	1.402864115275915e+01	-6.694886309332654e-02	2.527233938317226e+01
1.382023860362926e-09	1.404050996212835e+01	-6.723580087823348e-02	2.501130434705141e+01
1.529516485731711e-09	1.405159557753764e+01	-6.752678672009750e-02	2.475156048917295e+01
1.677009111100496e-09	1.406190045255173e+01	-6.781757638059277e-02	2.449313509186875e+01
1.824501736469281e-09	1.407142708832239e+01	-6.810368108968373e-02	2.423604893623158e+01
1.971994361838066e-09	1.408017802534969e+01	-6.838154990645559e-02	2.398031662604170e+01
2.119486987206851e-09	1.408815583703120e+01	-6.864917180252907e-02	2.372594793657951e+01
2.266979612575637e-09	1.409536312556816e+01	-6.890616849523053e-02	2.347294960294220e+01
2.414472237944422e-09	1.410180252016406e+01	-6.915352527341916e-02	2.322132706481706e+01
2.561964863313207e-09	1.410747667703271e+01	-6.939312948686793e-02	2.297108584749324e+01
2.709457488681992e-09	1.411238828054072e+01	-6.962726854870491e-02	2.272223243090433e+01
2.856950114050777e-09	1.411654004480707e+01	-6.985819799619217e-02	2.247477460358209e+01
3.004442739419562e-09	1.411993471521052e+01	-7.008784105705378e-02	2.222872139751808e+01
3.151935364788347e-09	1.412257506944687e+01	-7.031763624503257e-02	2.198408274906047e+01
3.299427990157132e-09	1.412446391797687e+01	-7.054851596736335e-02	2.174086903692187e+01
3.446920615525918e-09	1.412560410387147e+01	-7.078097963277107e-02	2.149909062391363e+01
3.594413240894703e-09	1.412599850217405e+01	-7.101521842765091e-02	2.125875748851711e+01
3.741905866263488e-09	1.412565001895372e+01	-7.125125270559016e-02	2.101987898858643e+01
3.889398491632273e-09	1.412456159022938e+01	-7.148905284110194e-02	2.078246376159870e+01
4.036891117001058e-09	1.412273620680844e+01	-7.174545407162891e-02	2.054653935084944e+01
4.184383742369843e-09	1.412017696104352e+01	-7.205144992276469e-02	2.031216896474662e+01
4.186025526605803e-09	1.412014838239300e+01	-7.205489625896938e-02	2.030956031141764e+01
4.199402612350663e-09	1.411991148346928e+01	-7.208415476838433e-02	2.028831393718788e+01
4.200574565510181e-09	1.411989050818392e+01	-7.208678308883903e-02	2.028645303888027e+01
4.309603312518575e-09	1.411766624690607e+01	-7.244324030564496e-02	2.011394365400558e+01
4.418632059526969e-09	1.411502178508048e+01	-7.280050334080625e-02	1.994249348070232e+01
4.527660806535363e-09	1.411195712270715e+01	-7.315857219432290e-02	1.977210251897051e+01
4.636689553543757e-09	1.410847225978608e+01	-7.351744686619494e-02	1.960277076881013e+01
4.745718300552151e-09	1.410456719631727e+01	-7.387712735642232e-02	1.943449823022119e+01
4.854747047560546e-09	1.410024193230072e+01	-7.423761366500510e-02	1.926728490320369e+01
4.963775794568939e-09	1.409549646773643e+01	-7.459890579194324e-02	1.910113078775763e+01
5.111268419937724e-09	1.408839969756407e+01	-7.498999800657949e-02	1.887782511701380e+01
5.255718371263289e-09	1.408076907842496e+01	-7.537325996216712e-02	1.866060668839759e+01
5.403210996632074e-09	1.407227170354862e+01	-7.579674140611894e-02	1.844032810300501e+01
5.550703622000860e-09	1.406307150991702e+01	-7.627739200367910e-02	1.822156852203626e+01
5.698196247369645e-09	1.405317175486219e+01	-7.682890264588062e-02	1.800435346753006e+01
5.845688872738430e-09	1.404257576027862e+01	-7.745468634308854e-02	1.778871925786164e+01
5.993181498107215e-09	1.403128691382009e+01	-7.815033840508383e-02	1.757470333328038e+01
6.140674123476000e-09	1.401930866090141e+01	-7.890667516881827e-02	1.736233722918834e+01
6.141854065833336e-09	1.401921279064774e+01	-7.891274539150434e-02	1.736063840415433e+01
6.144213950548007e-09	1.401902087367315e+01	-7.892493363767827e-02	1.735724117780446e+01
6.148933719977350e-09	1.401863633396845e+01	-7.894949710613322e-02	1.735044842564470e+01
6.158373258832646e-09	1.401786443244851e+01	-7.899936457058496e-02	1.733686976872722e+01
6.177478885713425e-09	1.401629068566420e+01	-7.910299069255604e-02	1.730941461701279e+01
6.178838180720978e-09	1.401617866426020e+01	-7.911037856095721e-02	1.730746141956660e+01
6.180650574062123e-09	1.401602918110681e+01	-7.912025991158775e-02	1.730485745494586e+01
6.184275360744413e-09	1.401572979903408e+01	-7.914012561742911e-02	1.729965055224446e+01
6.184318858227454e-09	1.401572620638572e+01	-7.914036459259760e-02	1.729958806949712e+01
6.184927823003574e-09	1.401567590092692e+01	-7.914370487506475e-02	1.729871333173725e+01
6.185623782749164e-09	1.401561838981627e+01	-7.914752719979092e-02	1.729771367878561e+01
6.187015702236956e-09	1.401550330629348e+01	-7.915518724302326e-02	1.729571452454412e+01
6.187032405286218e-09	1.401550192528099e+01	-7.915527924729614e-02	1.729569053469102e+01
6.187333060197148e-09	1.401547706504356e+01	-7.915693442942898e-02	1.729525872231116e+01
6.187633715108078e-09	1.401545220099288e+01	-7.915859056969839e-02	1.729482691937643e+01
6.187934370019008e-09	1.401542733312896e+01	-7.916024766810439e-02	1.729439512588683e+01
6.188235024929938e-09	1.401540246145179e+01	-7.916190572464699e-02	1.729396334184236e+01
6.188535679840868e-09	1.401537758596137e+01	-7.916356473932616e-02	1.729353156724301e+01
6.188836334751798e-09	1.401535270665770e+01	-7.916522471214191e-02	1.729309980208880e+01
6.189136989662728e-09	1.401532782354078e+01	-7.916688564309425e-02	1.729266804637971e+01
6.189149817620960e-09	1.401532676206275e+01	-7.916695650620650e-02	1.729264962428239e+01
6.189758875357253e-09	1.401527635730765e+01	-7.917032057501133e-02	1.729177497974264e+01
6.189758935357679e-09	1.401527635234166e+01	-7.917032090823381e-02	1.729177489358010e+01
6.191256889823264e-09	1.401515232452535e+01	-7.917861027063673e-02	1.728962388468385e+01
6.192754844288848e-09	1.401502820208236e+01	-7.918692219216823e-02	1.728747311166308e+01
6.194252798754433e-09	1.401490398501270e+01	-7.919525667282831e-02	1.728532257451779e+01
6.195750753220018e-09	1.401477967331636e+01	-7.920361371261697e-02	1.728317227324798e+01
6.197248707685603e-09	1.401465526699335e+01	-7.921199331153421e-02	1.728102220785365e+01
6.198746662151187e-09	1.401453076604366e+01	-7.922039546958001e-02	1.727887237833480e+01
6.200244616616773e-09	1.401440617046730e+01	-7.922882018675440e-02	1.727672278469143e+01
6.210730377876434e-09	1.401353134678431e+01	-7.928839760014364e-02	1.726168218890269e+01
6.222802516199201e-09	1.401251956678186e+01	-7.935799049109776e-02	1.724437778221279e+01
6.239572928437066e-09	1.401110513662221e+01	-7.945644615125708e-02	1.722036149294570e+01
6.260381722500056e-09	1.400933644104081e+01	-7.958113474693503e-02	1.719059728956728e+01
6.285574830824784e-09	1.400717507790825e+01	-7.973535300773371e-02	1.715461420455351e+01
6.314441742025874e-09	1.400467228623559e+01	-7.991576041007883e-02	1.711345322815927e+01
6.348510087965479e-09	1.400168201349490e+01	-8.013285927085952e-02	1.706497313435784e+01
6.385338314848522e-09	1.399840689003850e+01	-8.037140888324150e-02	1.701268054257598e+01
6.429841622771436e-09	1.399438710844236e+01	-8.066328886451535e-02	1.694965868327650e+01
6.473664527359359e-09	1.399036865242560e+01	-8.095302498047936e-02	1.688776425898551e+01
6.520672107825055e-09	1.398598910123962e+01	-8.126458125196367e-02	1.682156020332068e+01
6.572746058526688e-09	1.398105293865598e+01	-8.160900217397088e-02	1.674845077888006e+01
6.631846679719985e-09	1.397534198499478e+01	-8.199647310843251e-02	1.666576930924850e+01
6.700915316661902e-09	1.396851969993767e+01	-8.244140233611635e-02	1.656953557456729e+01
6.770663221707985e-09	1.396147966630254e+01	-8.288204187432657e-02	1.647274758354110e+01
6.846435664793461e-09	1.395365422770977e+01	-8.334983125546966e-02	1.636805006379543e+01
6.937440407475535e-09	1.394400072245048e+01	-8.389675748354257e-02	1.624293329846218e+01
7.023655815992621e-09	1.393462713439423e+01	-8.440731356793579e-02	1.612494862405172e+01
7.111469685792070e-09	1.392484382400904e+01	-8.492472387480057e-02	1.600533076877619e+01
7.201951494544099e-09	1.391451357905915e+01	-8.546076999440205e-02	1.588265606872730e+01
7.293789039413437e-09	1.390377213028845e+01	-8.601381339736446e-02	1.575873104693281e+01
7.396875175039272e-09	1.389139310571809e+01	-8.665021175188206e-02	1.562036245087664e+01
7.520688658586763e-09	1.387606266375534e+01	-8.744024915072904e-02	1.545522945522660e+01
7.668181283955548e-09	1.385714755210575e+01	-8.842141797401895e-02	1.526002011793814e+01
7.815673909324333e-09	1.383758316236622e+01	-8.945384823988492e-02	1.506634242776884e+01
8.110659160061903e-09	1.379652074036945e+01	-9.167136235930617e-02	1.468373202189103e+01
8.399999999998090e-09	1.375377434089899e+01	-9.399080391702783e-02	1.431477570857285e+01
8.465914158064630e-09	1.374377078751003e+01	-9.453825544541683e-02	1.423142828787648e+01
8.866807091240282e-09	1.367982151107392e+01	-9.786273621775332e-02	1.373291356208373e+01
9.161792341977852e-09	1.362979341199959e+01	-1.002427948867757e-01	1.337402165819675e+01
9.456777592715423e-09	1.357731791451552e+01	-1.026033673570315e-01	1.302157871554471e+01
9.751762843449605e-09	1.352242481895533e+01	-1.049745361928434e-01	1.267554128116377e+01
1.004674809418717e-08	1.346514416745316e+01	-1.073622160135871e-01	1.233593411386529e+01
1.048922597029353e-08	1.337481300362081e+01	-1.109391316725804e-01	1.183866480722630e+01
1.093170384639989e-08	1.327928173492647e+01	-1.144454323261415e-01	1.135599576326168e+01
1.137418172250624e-08	1.317865475304700e+01	-1.178349069773578e-01	1.088785966392442e+01
1.181665959861260e-08	1.307303707453714e+01	-1.210894373294703e-01	1.043416975207324e+01
1.225913747471895e-08	1.296253439754473e+01	-1.241943376770501e-01	9.994873426428185e+00
1.270161535082531e-08	1.284725318119984e+01	-1.271272900742660e-01	9.569938658487432e+00
1.314409322693166e-08	1.272730062134679e+01	-1.298632017608775e-01	9.159327708996628e+00
