Time (s),VDS_A,VDS_B,V_MR
0.0,1.5359999991915174e-06,45.31250432,14.374992896000009
5e-10,1.5359999991915174e-06,45.31250432,19.062493184000004
1e-09,1.5359999991915174e-06,44.531254272,23.749993472
1.5000000000000002e-09,1.5359999991915174e-06,43.750004223999994,28.43749376000001
2e-09,-0.7812485120000012,41.40625408,31.562493951999997
2.5e-09,-1.5624985600000016,39.843753984,36.24999424000001
3.0000000000000004e-09,-1.5624985600000016,38.281253887999995,40.937494528
3.5000000000000003e-09,-1.5624985600000016,36.718753792,47.187494912000005
4e-09,-0.7812485120000012,36.718753792,48.749995008
4.500000000000001e-09,-0.7812485120000012,35.937503744,53.43749529600001
5e-09,1.5359999991915174e-06,34.375003647999996,56.562495487999996
5.5000000000000004e-09,-0.7812485120000012,32.812503551999995,61.249995776000006
6.000000000000001e-09,1.5359999991915174e-06,30.468753407999998,64.37499596800001
6.5e-09,0.7812515839999996,28.906253311999997,69.062496256
7.000000000000001e-09,0.7812515839999996,28.125003264,73.749996544
7.500000000000001e-09,1.5359999991915174e-06,26.562503168,79.999996928
8e-09,1.5359999991915174e-06,25.000003072,81.56249702400001
8.5e-09,1.5359999991915174e-06,24.218753024,83.12499712
9.000000000000001e-09,1.5359999991915174e-06,25.000003072,89.37499750399999
9.5e-09,0.7812515839999996,24.218753024,94.062497792
1e-08,1.5359999991915174e-06,22.656252928,94.062497792
1.0500000000000001e-08,1.5359999991915174e-06,21.093752832,97.187497984
1.1000000000000001e-08,-0.7812485120000012,19.531252736,100.312498176
1.15e-08,-1.5624985600000016,17.968752639999998,103.437498368
1.2000000000000002e-08,-1.5624985600000016,17.968752639999998,104.999998464
1.2500000000000001e-08,-0.7812485120000012,17.187502592,106.56249856
1.3e-08,1.5359999991915174e-06,17.187502592,108.124998656
1.35e-08,-0.7812485120000012,17.187502592,109.687498752
1.4000000000000001e-08,-1.5624985600000016,14.843752447999996,112.812498944
1.45e-08,-0.7812485120000012,14.843752447999996,112.812498944
1.5000000000000002e-08,1.5359999991915174e-06,13.281252351999996,114.37499904
1.55e-08,1.5359999991915174e-06,14.0625024,117.499999232
1.6e-08,1.5359999991915174e-06,14.0625024,117.499999232
1.6500000000000002e-08,1.5359999991915174e-06,14.0625024,117.499999232
1.7e-08,-0.7812485120000012,14.0625024,117.499999232
1.75e-08,-0.7812485120000012,13.281252351999996,119.062499328
1.8000000000000002e-08,-0.7812485120000012,13.281252351999996,119.062499328
1.85e-08,-0.7812485120000012,12.500002303999999,119.062499328
1.9e-08,-0.7812485120000012,13.281252351999996,117.499999232
1.9500000000000003e-08,-0.7812485120000012,12.500002303999999,119.062499328
2e-08,1.5359999991915174e-06,13.281252351999996,115.937499136
2.05e-08,-0.7812485120000012,13.281252351999996,115.937499136
2.1000000000000003e-08,1.5359999991915174e-06,13.281252351999996,112.812498944
2.15e-08,-0.7812485120000012,14.0625024,112.812498944
2.2000000000000002e-08,-0.7812485120000012,14.843752447999996,112.812498944
2.2500000000000003e-08,-0.7812485120000012,15.625002496,109.687498752
2.3e-08,-0.7812485120000012,16.406252543999997,106.56249856
2.3500000000000002e-08,-1.5624985600000016,17.187502592,104.999998464
2.4000000000000003e-08,1.5359999991915174e-06,17.187502592,103.437498368
2.45e-08,-0.7812485120000012,17.968752639999998,100.312498176
2.5000000000000002e-08,-0.7812485120000012,18.750002687999995,100.312498176
2.55e-08,-0.7812485120000012,19.531252736,97.187497984
2.6e-08,-1.5624985600000016,21.093752832,92.49999769600001
2.6500000000000002e-08,-0.7812485120000012,21.093752832,87.812497408
2.7e-08,-0.7812485120000012,22.656252928,84.687497216
2.75e-08,-1.5624985600000016,23.437502975999998,83.12499712
2.8000000000000003e-08,-1.5624985600000016,24.218753024,76.874996736
2.85e-08,-0.7812485120000012,25.000003072,75.31249664
2.9e-08,-0.7812485120000012,26.562503168,72.187496448
2.9500000000000003e-08,-1.5624985600000016,28.906253311999997,67.49999616
3.0000000000000004e-08,1.5359999991915174e-06,29.68750336,64.37499596800001
3.05e-08,-1.5624985600000016,31.250003456,58.124995584000004
3.1e-08,-0.7812485120000012,33.5937536,53.43749529600001
3.1500000000000004e-08,-1.5624985600000016,34.375003647999996,53.43749529600001
3.2e-08,-0.7812485120000012,35.156253696,48.749995008
3.25e-08,-1.5624985600000016,35.937503744,42.49999462400001
3.3000000000000004e-08,-0.7812485120000012,38.281253887999995,37.812494336
3.35e-08,-1.5624985600000016,39.843753984,37.812494336
3.4e-08,-1.5624985600000016,41.40625408,29.999993856000003
3.4500000000000005e-08,-1.5624985600000016,42.968754176000004,25.312493568000008
3.5e-08,-1.5624985600000016,43.750004223999994,20.624993279999998
3.55e-08,-2.343748608000002,45.31250432,19.062493184000004
3.6000000000000005e-08,-1.5624985600000016,47.656254464,11.249992704000007
3.65e-08,-1.5624985600000016,49.218754559999994,8.124992512000006
