Time (s),V_LOAD_RF
0.0,-0.001562500096
5e-10,-0.001562500096
1e-09,-0.001562500096
1.5000000000000002e-09,-0.001562500096
2e-09,-0.003125000192
2.5e-09,-0.006250000384
3.0000000000000004e-09,-0.010937500672
3.5000000000000003e-09,-0.012500000768
4e-09,-0.014062500863999999
4.500000000000001e-09,-0.014062500863999999
5e-09,-0.017187501056
5.5000000000000004e-09,-0.020312501248
6.000000000000001e-09,-0.025000001536
6.5e-09,-0.026562501632
7.000000000000001e-09,-0.023437501439999998
7.500000000000001e-09,-0.021875001344
8e-09,-0.025000001536
8.5e-09,-0.028125001727999997
9.000000000000001e-09,-0.029687501823999998
9.5e-09,-0.029687501823999998
1e-08,-0.029687501823999998
1.0500000000000001e-08,-0.029687501823999998
1.1000000000000001e-08,-0.037500002303999996
1.15e-08,-0.042187502592
1.2000000000000002e-08,-0.042187502592
1.2500000000000001e-08,-0.042187502592
1.3e-08,-0.045312502783999994
1.35e-08,-0.045312502783999994
1.4000000000000001e-08,-0.048437502975999996
1.45e-08,-0.051562503168
1.5000000000000002e-08,-0.048437502975999996
1.55e-08,-0.048437502975999996
1.6e-08,-0.051562503168
1.6500000000000002e-08,-0.05468750336
1.7e-08,-0.056250003455999995
1.75e-08,-0.056250003455999995
1.8000000000000002e-08,-0.057812503551999996
1.85e-08,-0.059375003647999997
1.9e-08,-0.060937503744
1.9500000000000003e-08,-0.06250000384
2e-08,-0.06250000384
2.05e-08,-0.06406250393599999
2.1000000000000003e-08,-0.065625004032
2.15e-08,-0.06250000384
2.2000000000000002e-08,-0.06406250393599999
2.2500000000000003e-08,-0.067187504128
2.3e-08,-0.065625004032
2.3500000000000002e-08,-0.06406250393599999
2.4000000000000003e-08,-0.06406250393599999
2.45e-08,-0.068750004224
2.5000000000000002e-08,-0.07031250432
2.55e-08,-0.073437504512
2.6e-08,-0.073437504512
2.6500000000000002e-08,-0.07187500441599999
2.7e-08,-0.07031250432
2.75e-08,-0.073437504512
2.8000000000000003e-08,-0.076562504704
2.85e-08,-0.073437504512
2.9e-08,-0.073437504512
2.9500000000000003e-08,-0.073437504512
3.0000000000000004e-08,-0.0781250048
3.05e-08,-0.08281250508799999
3.1e-08,-0.0781250048
3.1500000000000004e-08,-0.076562504704
3.2e-08,-0.073437504512
3.25e-08,-0.073437504512
3.3000000000000004e-08,-0.07500000460799999
3.35e-08,-0.076562504704
3.4e-08,-0.076562504704
3.4500000000000005e-08,-0.0781250048
3.5e-08,-0.081250004992
3.55e-08,-0.084375005184
3.6000000000000005e-08,-0.084375005184
3.65e-08,-0.079687504896
3.7e-08,-0.0781250048
3.7500000000000005e-08,-0.076562504704
3.8e-08,-0.079687504896
3.85e-08,-0.08281250508799999
3.9000000000000005e-08,-0.08281250508799999
3.95e-08,-0.079687504896
4e-08,-0.079687504896
4.0500000000000005e-08,-0.079687504896
4.1e-08,-0.084375005184
4.15e-08,-0.084375005184
4.2000000000000006e-08,-0.084375005184
4.2500000000000003e-08,-0.08281250508799999
4.3e-08,-0.08281250508799999
4.3500000000000006e-08,-0.08593750527999999
4.4000000000000004e-08,-0.09062500556799999
4.45e-08,-0.089062505472
4.5000000000000006e-08,-0.08281250508799999
4.5500000000000004e-08,-0.076562504704
4.6e-08,-0.073437504512
4.6500000000000006e-08,-0.073437504512
4.7000000000000004e-08,-0.073437504512
4.75e-08,-0.073437504512
4.8000000000000006e-08,-0.07187500441599999
4.8500000000000004e-08,-0.07187500441599999
4.9e-08,-0.07187500441599999
4.95e-08,-0.07187500441599999
5.0000000000000004e-08,-0.07500000460799999
5.05e-08,-0.076562504704
5.1e-08,-0.07187500441599999
5.1500000000000005e-08,-0.065625004032
5.2e-08,-0.060937503744
5.25e-08,-0.06250000384
5.3000000000000005e-08,-0.065625004032
5.35e-08,-0.06406250393599999
5.4e-08,-0.059375003647999997
5.4500000000000005e-08,-0.057812503551999996
5.5e-08,-0.056250003455999995
5.55e-08,-0.057812503551999996
5.6000000000000005e-08,-0.059375003647999997
5.65e-08,-0.060937503744
5.7e-08,-0.056250003455999995
5.7500000000000005e-08,-0.059375003647999997
5.8e-08,-0.060937503744
5.85e-08,-0.059375003647999997
5.9000000000000006e-08,-0.053125003264
5.9500000000000003e-08,-0.046875002879999995
6.000000000000001e-08,-0.045312502783999994
6.05e-08,-0.045312502783999994
6.1e-08,-0.046875002879999995
6.15e-08,-0.042187502592
6.2e-08,-0.042187502592
6.250000000000001e-08,-0.0390625024
6.300000000000001e-08,-0.035937502207999995
6.35e-08,-0.035937502207999995
6.4e-08,-0.037500002303999996
6.45e-08,-0.0390625024
6.5e-08,-0.0390625024
6.55e-08,-0.034375002112
6.600000000000001e-08,-0.028125001727999997
6.65e-08,-0.025000001536
6.7e-08,-0.021875001344
6.75e-08,-0.021875001344
6.8e-08,-0.021875001344
6.85e-08,-0.020312501248
6.900000000000001e-08,-0.018750001151999998
6.950000000000001e-08,-0.018750001151999998
7e-08,-0.017187501056
7.05e-08,-0.012500000768
7.1e-08,-0.00781250048
7.15e-08,-0.009375000575999999
7.200000000000001e-08,-0.010937500672
7.250000000000001e-08,-0.009375000575999999
7.3e-08,-0.0046875002879999995
7.35e-08,-0.001562500096
7.4e-08,0.0
7.45e-08,-0.001562500096
7.500000000000001e-08,0.001562500096
7.550000000000001e-08,0.003125000192
7.6e-08,0.006250000384
7.65e-08,0.009375000575999999
7.7e-08,0.012500000768
7.75e-08,0.012500000768
7.800000000000001e-08,0.00781250048
7.850000000000001e-08,0.009375000575999999
7.9e-08,0.012500000768
7.95e-08,0.020312501248
8e-08,0.021875001344
8.05e-08,0.018750001151999998
8.100000000000001e-08,0.018750001151999998
8.150000000000001e-08,0.018750001151999998
8.2e-08,0.021875001344
8.25e-08,0.023437501439999998
8.3e-08,0.023437501439999998
8.35e-08,0.026562501632
8.400000000000001e-08,0.028125001727999997
8.450000000000001e-08,0.028125001727999997
8.500000000000001e-08,0.029687501823999998
8.55e-08,0.034375002112
8.6e-08,0.0390625024
8.65e-08,0.040625002496
8.700000000000001e-08,0.0390625024
8.750000000000001e-08,0.0390625024
8.800000000000001e-08,0.0390625024
8.85e-08,0.035937502207999995
8.9e-08,0.037500002303999996
8.95e-08,0.037500002303999996
9.000000000000001e-08,0.0390625024
9.050000000000001e-08,0.043750002688
9.100000000000001e-08,0.046875002879999995
9.15e-08,0.050000003072
9.2e-08,0.048437502975999996
9.25e-08,0.048437502975999996
9.300000000000001e-08,0.048437502975999996
9.350000000000001e-08,0.050000003072
9.400000000000001e-08,0.051562503168
9.45e-08,0.053125003264
9.5e-08,0.051562503168
9.55e-08,0.051562503168
9.600000000000001e-08,0.053125003264
9.650000000000001e-08,0.056250003455999995
9.700000000000001e-08,0.059375003647999997
9.75e-08,0.057812503551999996
9.8e-08,0.056250003455999995
9.85e-08,0.060937503744
9.9e-08,0.06406250393599999
9.950000000000001e-08,0.060937503744
1.0000000000000001e-07,0.060937503744
1.005e-07,0.060937503744
1.01e-07,0.060937503744
1.015e-07,0.060937503744
1.02e-07,0.060937503744
1.0250000000000001e-07,0.06250000384
1.0300000000000001e-07,0.065625004032
1.0350000000000001e-07,0.065625004032
1.04e-07,0.067187504128
1.045e-07,0.068750004224
1.05e-07,0.065625004032
1.0550000000000001e-07,0.06406250393599999
1.0600000000000001e-07,0.06406250393599999
1.0650000000000001e-07,0.06406250393599999
1.07e-07,0.065625004032
1.075e-07,0.06406250393599999
1.08e-07,0.06250000384
1.0850000000000001e-07,0.059375003647999997
1.0900000000000001e-07,0.060937503744
1.0950000000000001e-07,0.06406250393599999
1.1e-07,0.065625004032
1.105e-07,0.065625004032
1.11e-07,0.065625004032
1.1150000000000001e-07,0.06250000384
1.1200000000000001e-07,0.060937503744
1.1250000000000001e-07,0.06250000384
1.13e-07,0.065625004032
1.135e-07,0.067187504128
1.14e-07,0.06250000384
1.1450000000000001e-07,0.059375003647999997
1.1500000000000001e-07,0.060937503744
1.1550000000000001e-07,0.06250000384
1.16e-07,0.06250000384
1.165e-07,0.060937503744
1.17e-07,0.059375003647999997
1.1750000000000001e-07,0.060937503744
1.1800000000000001e-07,0.060937503744
1.1850000000000001e-07,0.059375003647999997
1.1900000000000001e-07,0.05468750336
1.195e-07,0.056250003455999995
1.2000000000000002e-07,0.059375003647999997
1.205e-07,0.060937503744
1.21e-07,0.059375003647999997
1.215e-07,0.053125003264
1.22e-07,0.050000003072
1.2250000000000002e-07,0.051562503168
1.23e-07,0.05468750336
1.2350000000000001e-07,0.05468750336
1.24e-07,0.050000003072
1.245e-07,0.046875002879999995
1.2500000000000002e-07,0.043750002688
1.255e-07,0.046875002879999995
1.2600000000000002e-07,0.046875002879999995
1.265e-07,0.045312502783999994
1.27e-07,0.043750002688
1.275e-07,0.042187502592
1.28e-07,0.040625002496
1.2850000000000002e-07,0.037500002303999996
1.29e-07,0.034375002112
1.2950000000000001e-07,0.03125000192
1.3e-07,0.029687501823999998
1.305e-07,0.03125000192
1.31e-07,0.03125000192
1.315e-07,0.03125000192
1.3200000000000002e-07,0.029687501823999998
1.325e-07,0.026562501632
1.33e-07,0.025000001536
1.335e-07,0.025000001536
1.34e-07,0.025000001536
1.3450000000000002e-07,0.023437501439999998
1.35e-07,0.021875001344
1.3550000000000002e-07,0.01562500096
1.36e-07,0.012500000768
1.365e-07,0.010937500672
1.37e-07,0.010937500672
1.375e-07,0.010937500672
