Time (s),VIN,IIN,VOUT,IOUT,"[""CRTL_A"", ""IN_A"", ""CRTL_B"", ""IN_B"", ""nEN"", ""GATE_1"", ""GATE_2""]"
0.0,19.4615000288,1.275337507392,16.249995008,0.09375009280000002,8960
5e-10,19.43025002688,1.2722125072,17.812495104000007,0.09375009280000002,8960
1e-09,19.4615000288,1.273775007296,14.687494912000005,0.09375009280000002,8960
1.5000000000000002e-09,19.50837503168,1.273775007296,14.687494912000005,0.06250009600000006,8960
2e-09,19.5396250336,1.273775007296,13.124994815999997,1.02400000034919e-07,8960
2.5e-09,19.49275003072,1.273775007296,11.562494720000004,1.02400000034919e-07,8704
3.0000000000000004e-09,19.44587502784,1.2722125072,9.99999462400001,1.02400000034919e-07,8704
3.5000000000000003e-09,19.43025002688,1.273775007296,11.562494720000004,-0.031249894399999922,8704
4e-09,19.50837503168,1.276900007488,9.99999462400001,-0.09374988800000006,8704
4.500000000000001e-09,19.55525003456,1.276900007488,11.562494720000004,-0.09374988800000006,8192
5e-09,19.57087503552,1.275337507392,6.874994432000008,-0.12499988480000002,8192
5.5000000000000004e-09,19.50837503168,1.2722125072,6.874994432000008,-0.12499988480000002,8192
6.000000000000001e-09,19.4615000288,1.273775007296,6.874994432000008,-0.12499988480000002,8192
6.5e-09,19.4615000288,1.273775007296,6.874994432000008,-0.18749987839999993,8192
7.000000000000001e-09,19.52400003264,1.2690875070079999,3.7499942400000066,-0.2187498751999999,8192
7.500000000000001e-09,19.60212503744,1.2690875070079999,2.1874941439999986,-0.2187498751999999,8192
8e-09,19.58650003648,1.270650007104,0.6249940480000049,-0.24999987200000007,8192
8.5e-09,19.55525003456,1.270650007104,2.1874941439999986,-0.24999987200000007,8192
9.000000000000001e-09,19.49275003072,1.2722125072,-0.937506048000003,-0.24999987200000007,8192
9.5e-09,19.47712502976,1.2722125072,-0.937506048000003,-0.2812498688,8192
1e-08,19.52400003264,1.273775007296,-2.5000061439999968,-0.2812498688,8192
1.0500000000000001e-08,19.57087503552,1.275337507392,-4.0625062399999905,-0.34374986239999994,8192
1.1000000000000001e-08,19.6177500384,1.275337507392,-5.625006335999998,-0.3124998656,8192
1.15e-08,19.60212503744,1.275337507392,-7.187506431999992,-0.34374986239999994,8192
1.2000000000000002e-08,19.60212503744,1.273775007296,-7.187506431999992,-0.3749998591999999,8192
1.2500000000000001e-08,19.58650003648,1.273775007296,-7.187506431999992,-0.3749998591999999,8192
1.3e-08,19.60212503744,1.273775007296,-7.187506431999992,-0.40624985599999985,8192
1.35e-08,19.58650003648,1.273775007296,-10.312506623999994,-0.40624985599999985,8192
1.4000000000000001e-08,19.57087503552,1.275337507392,-10.312506623999994,-0.43749985280000003,8192
1.45e-08,19.55525003456,1.276900007488,-10.312506623999994,-0.4687498496,8192
1.5000000000000002e-08,19.55525003456,1.276900007488,-11.875006720000002,-0.49999984639999995,8192
1.55e-08,19.57087503552,1.278462507584,-15.000006912000003,-0.49999984639999995,8192
1.6e-08,19.6177500384,1.276900007488,-16.562507007999997,-0.49999984639999995,8192
1.6500000000000002e-08,19.63337503936,1.278462507584,-15.000006912000003,-0.49999984639999995,8192
1.7e-08,19.60212503744,1.275337507392,-16.562507007999997,-0.5312498431999999,8192
1.75e-08,19.57087503552,1.273775007296,-16.562507007999997,-0.5312498431999999,8192
1.8000000000000002e-08,19.58650003648,1.276900007488,-18.12500710399999,-0.5624998399999999,8192
1.85e-08,19.60212503744,1.278462507584,-19.6875072,-0.5937498368,8192
1.9e-08,19.64900004032,1.276900007488,-21.250007295999993,-0.5937498368,8192
1.9500000000000003e-08,19.6958750432,1.276900007488,-22.812507392,-0.6249998336,8192
2e-08,19.6958750432,1.276900007488,-22.812507392,-0.6249998336,8192
2.05e-08,19.66462504128,1.275337507392,-22.812507392,-0.6874998271999999,8192
2.1000000000000003e-08,19.63337503936,1.278462507584,-24.375007487999994,-0.6562498304,8192
2.15e-08,19.60212503744,1.278462507584,-24.375007487999994,-0.6874998271999999,8192
2.2000000000000002e-08,19.58650003648,1.28002500768,-25.937507584000002,-0.6874998271999999,8192
